model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	1	1.0	0.1183	0.0	0.0	1	0	0.504
ret_60	top_10pct	2	1.0	0.1071	0.0	0.0	2	0	0.5001
ret_60	top_15pct	2	1.0	0.1106	0.0	0.0	2	0	0.4966
ret_60	top_20pct	3	0.6667	0.0412	-0.0522	-0.0583	1	1	0.4955
ret_60	bullish_plus	1	1.0	0.1069	0.0	0.0	1	0	0.504
ret_60	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.504
sma_gap_60	threshold	1	1.0	0.1183	0.0	0.0	1	0	0.502
sma_gap_60	top_10pct	2	1.0	0.1031	0.0	0.0	2	0	0.4994
sma_gap_60	top_15pct	2	0.5	0.051	-0.0146	-0.0163	1	1	0.4973
sma_gap_60	top_20pct	2	0.5	0.03	-0.0522	-0.0583	1	1	0.496
sma_gap_60	bullish_plus	1	1.0	0.1538	0.0	0.0	1	0	0.502
sma_gap_60	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.502
ret_60_plus_sma_gap_60	threshold	1	1.0	0.1183	0.0	0.0	1	0	0.511
ret_60_plus_sma_gap_60	top_10pct	2	1.0	0.1031	0.0	0.0	2	0	0.5032
ret_60_plus_sma_gap_60	top_15pct	2	1.0	0.1156	0.0	0.0	2	0	0.4982
ret_60_plus_sma_gap_60	top_20pct	2	0.5	0.051	-0.0146	-0.0163	1	1	0.4937
ret_60_plus_sma_gap_60	bullish_plus	1	1.0	0.1538	0.0	0.0	1	0	0.511
ret_60_plus_sma_gap_60	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.511
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	1	1.0	0.1183	0.0	0.0	1	0	0.514
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	2	1.0	0.0976	0.0	0.0	2	0	0.5016
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	2	1.0	0.1156	0.0	0.0	2	0	0.4935
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	3	0.3333	0.025	-0.0388	-0.0429	1	2	0.4876
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	1	1.0	0.1538	0.0	0.0	1	0	0.514
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.514
ret_60_plus_sma_gap_60	fixed_0.47	4	0.5	0.026	-0.0656	-0.0733	1	1	0.47
ret_60_plus_sma_gap_60	fixed_0.49	3	0.6667	0.0477	-0.0522	-0.0583	1	1	0.49
ret_60_plus_sma_gap_60	fixed_0.51	1	1.0	0.1183	0.0	0.0	1	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	4	1.0	0.0996	0.0	0.0	4	0	0.511
ret_60_plus_sma_gap_60	cooldown_10d	2	1.0	0.1207	0.0	0.0	2	0	0.511
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	4	0.5	0.026	-0.0656	-0.0733	1	1	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	2	0.5	0.0583	-0.0015	-0.0016	1	1	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	1	1.0	0.1183	0.0	0.0	1	0	0.51
