strategy_name	rule_name	trade_count	hit_rate	avg_return
combo_threshold	threshold	10	0.3	-0.010608723297659606
combo_fixed_0_49	fixed_0.49	11	0.2727272727272727	-0.016037632832649404
combo_top_12_5pct	top_12_5pct	5	0.6	0.004428102840672144
combo_top_15pct	top_15pct	5	0.6	0.0028208324382807738
combo_top_17_5pct	top_17_5pct	5	0.4	-0.0205704455678138
combo_top_20pct	top_20pct	5	0.4	-0.02070520229312025
combo_neg115_top_17_5pct	top_17_5pct	5	0.4	-0.022534501070595892
combo_neg115_threshold	threshold	10	0.3	-0.012618401702033677
combo_neg115_fixed_0_47	fixed_0.47	12	0.25	-0.017449900226969555
combo_neg115_fixed_0_49	fixed_0.49	11	0.2727272727272727	-0.013628754698701739
combo_neg115_top_15pct	top_15pct	5	0.6	0.0028208324382807738
combo_neg115_top_20pct	top_20pct	5	0.4	-0.02070520229312025
sma_gap_60_top15	top_15pct	6	0.3333333333333333	-0.02694492665365413
