model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.511	1	0.0531	1.0	0.2353	1.0	0.1183	0.0
ret_60_plus_sma_gap_60	fixed_0.47	0.47	4	0.9956	0.2267	1.0	0.5	0.026	-0.0733
ret_60_plus_sma_gap_60	fixed_0.49	0.49	3	0.292	0.7424	0.9608	0.6667	0.0477	-0.0583
ret_60_plus_sma_gap_60	top_12_5pct	0.5002	2	0.1283	1.0	0.5686	1.0	0.1106	0.0
ret_60_plus_sma_gap_60	top_15pct	0.4982	2	0.1504	1.0	0.6667	1.0	0.1156	0.0
ret_60_plus_sma_gap_60	top_17_5pct	0.4951	2	0.177	0.975	0.7647	0.5	0.0583	-0.0016
ret_60_plus_sma_gap_60	top_20pct	0.4937	2	0.2035	0.9348	0.8431	0.5	0.051	-0.0163
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.514	1	0.0575	1.0	0.2549	1.0	0.1183	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	4	0.6106	0.3696	1.0	0.5	0.026	-0.0733
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	2	0.1814	0.9756	0.7843	0.5	0.0583	-0.0016
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4935	2	0.1504	1.0	0.6667	1.0	0.1156	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.49	2	0.177	0.975	0.7647	0.5	0.0583	-0.0016
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4876	3	0.2035	0.913	0.8235	0.3333	0.025	-0.0429
