model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	7	0.5714	0.0687	-0.3138	-0.5277	3	2	0.43
ret_60	top_10pct	5	0.6	0.0614	-0.3504	-0.5694	2	2	0.4995
ret_60	top_15pct	6	0.5	0.0009	-0.3996	-0.545	2	2	0.4967
ret_60	top_20pct	6	0.5	0.0137	-0.3522	-0.4965	2	2	0.4933
ret_60	bullish_plus	6	0.5	0.0213	-0.3473	-0.4965	2	2	0.43
ret_60	strong_bullish_plus	5	0.6	0.0635	-0.3531	-0.5784	2	2	0.43
sma_gap_60	threshold	7	0.5714	0.0687	-0.3138	-0.5277	3	2	0.432
sma_gap_60	top_10pct	5	0.6	0.0662	-0.3462	-0.5694	2	2	0.5003
sma_gap_60	top_15pct	6	0.5	0.019	-0.3325	-0.471	2	2	0.4969
sma_gap_60	top_20pct	6	0.5	0.0135	-0.353	-0.4976	2	2	0.4943
sma_gap_60	bullish_plus	6	0.5	0.0195	-0.3473	-0.4965	2	2	0.432
sma_gap_60	strong_bullish_plus	5	0.4	0.0558	-0.3559	-0.5807	2	3	0.432
ret_60_plus_sma_gap_60	threshold	7	0.5714	0.0687	-0.3138	-0.5277	3	2	0.435
ret_60_plus_sma_gap_60	top_10pct	5	0.6	0.0662	-0.3462	-0.5694	2	2	0.5004
ret_60_plus_sma_gap_60	top_15pct	6	0.5	0.0009	-0.3996	-0.545	2	2	0.4975
ret_60_plus_sma_gap_60	top_20pct	6	0.5	0.0135	-0.353	-0.4976	2	2	0.4946
ret_60_plus_sma_gap_60	bullish_plus	6	0.5	0.0195	-0.3473	-0.4965	2	2	0.435
ret_60_plus_sma_gap_60	strong_bullish_plus	5	0.6	0.0635	-0.3531	-0.5784	2	2	0.435
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	7	0.5714	0.0513	-0.3695	-0.5977	3	2	0.392
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	5	0.6	0.063	-0.3464	-0.5642	2	2	0.4843
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	6	0.5	0.0064	-0.3792	-0.521	2	2	0.4812
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	6	0.5	0.0135	-0.353	-0.4976	2	2	0.4767
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	6	0.5	0.0195	-0.3473	-0.4965	2	2	0.392
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	5	0.6	0.0662	-0.3462	-0.5694	2	2	0.392
ret_60_plus_sma_gap_60	fixed_0.47	7	0.4286	0.0478	-0.368	-0.5643	2	3	0.47
ret_60_plus_sma_gap_60	fixed_0.49	6	0.5	0.0323	-0.3245	-0.4815	2	2	0.49
ret_60_plus_sma_gap_60	fixed_0.51	3	0.6667	0.1575	-0.1784	-0.3197	2	1	0.51
ret_60_plus_sma_gap_60	cooldown_5d	69	0.5217	0.059	-1.9964	-0.9996	26	15	0.435
ret_60_plus_sma_gap_60	cooldown_10d	38	0.5	0.0412	-1.0818	-0.9873	14	9	0.435
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	6	0.5	0.0675	-0.1619	-0.2489	2	2	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	5	0.6	0.0635	-0.3531	-0.5784	2	2	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	1	1.0	0.2774	0.0	0.0	1	0	0.51
