strategy_name	rule_name	trade_count	hit_rate	avg_return
combo_threshold	threshold	24	0.5	0.04216786479151142
combo_fixed_0_49	fixed_0.49	21	0.5238095238095238	0.029347917827922627
combo_top_12_5pct	top_12_5pct	18	0.5	0.03374729542548341
combo_top_15pct	top_15pct	19	0.42105263157894735	0.0045225614809100145
combo_top_17_5pct	top_17_5pct	20	0.45	0.017603056880625086
combo_top_20pct	top_20pct	20	0.45	0.018544665787094718
combo_neg115_top_17_5pct	top_17_5pct	19	0.47368421052631576	0.03132286054349374
combo_neg115_threshold	threshold	24	0.5	0.045299769583037754
combo_neg115_fixed_0_47	fixed_0.47	24	0.5	0.05155779144820869
combo_neg115_fixed_0_49	fixed_0.49	22	0.4090909090909091	0.01951365816499655
combo_neg115_top_15pct	top_15pct	19	0.47368421052631576	0.03670078890648256
combo_neg115_top_20pct	top_20pct	20	0.5	0.017355459595852184
sma_gap_60_top15	top_15pct	20	0.45	0.015874548099843157
