model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	4	0.5	-0.0001	-0.4196	-0.5519	1	2	0.496
ret_60	top_10pct	3	0.3333	0.1403	-0.2679	-0.453	1	2	0.4997
ret_60	top_15pct	3	0.3333	0.1014	-0.2658	-0.4193	1	2	0.4994
ret_60	top_20pct	3	0.3333	0.1014	-0.2658	-0.4193	1	2	0.4992
ret_60	bullish_plus	4	0.5	0.0337	-0.3842	-0.5824	1	2	0.496
ret_60	strong_bullish_plus	3	0.3333	0.1403	-0.2679	-0.453	1	2	0.496
sma_gap_60	threshold	4	0.5	-0.0001	-0.4196	-0.5519	1	2	0.347
sma_gap_60	top_10pct	3	0.3333	0.113	-0.3101	-0.5154	1	2	0.4692
sma_gap_60	top_15pct	3	0.3333	-0.0019	-0.344	-0.454	1	2	0.4551
sma_gap_60	top_20pct	3	0.3333	0.0263	-0.3044	-0.4193	1	2	0.4454
sma_gap_60	bullish_plus	3	0.3333	0.1014	-0.2658	-0.4193	1	2	0.347
sma_gap_60	strong_bullish_plus	3	0.3333	0.113	-0.3101	-0.5154	1	2	0.347
ret_60_plus_sma_gap_60	threshold	4	0.5	-0.0001	-0.4196	-0.5519	1	2	0.496
ret_60_plus_sma_gap_60	top_10pct	3	0.3333	0.1403	-0.2679	-0.453	1	2	0.4997
ret_60_plus_sma_gap_60	top_15pct	3	0.3333	0.1014	-0.2658	-0.4193	1	2	0.4994
ret_60_plus_sma_gap_60	top_20pct	3	0.3333	0.1014	-0.2658	-0.4193	1	2	0.4992
ret_60_plus_sma_gap_60	bullish_plus	4	0.5	0.0337	-0.3842	-0.5824	1	2	0.496
ret_60_plus_sma_gap_60	strong_bullish_plus	3	0.3333	0.1403	-0.2679	-0.453	1	2	0.496
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	4	0.5	-0.0001	-0.4196	-0.5519	1	2	0.484
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	3	0.3333	0.1403	-0.2679	-0.453	1	2	0.4971
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	3	0.3333	0.1014	-0.2658	-0.4193	1	2	0.4959
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	3	0.3333	0.1014	-0.2658	-0.4193	1	2	0.4954
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	4	0.5	0.0337	-0.3842	-0.5824	1	2	0.484
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	3	0.3333	0.1403	-0.2679	-0.453	1	2	0.484
ret_60_plus_sma_gap_60	fixed_0.47	4	0.5	0.008	-0.4196	-0.5519	1	2	0.47
ret_60_plus_sma_gap_60	fixed_0.49	4	0.5	0.008	-0.4196	-0.5519	1	2	0.49
ret_60_plus_sma_gap_60	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	35	0.3714	-0.0467	-1.1696	-0.9994	9	21	0.496
ret_60_plus_sma_gap_60	cooldown_10d	20	0.45	-0.0329	-0.9608	-0.9765	5	11	0.496
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	4	0.5	0.008	-0.4196	-0.5519	1	2	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	4	0.5	-0.0088	-0.4196	-0.5519	1	2	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
