model_name	rule_name	role	operator_score	selected_count	hit_rate	avg_return	cutoff
sma_gap_60	fixed_0.49	headline	21.8766	3	0.3333	0.2106	0.49
up_day_ratio_20	top_10pct	balance	14.846600000000002	3	0.3333	0.1403	0.4987
ret_60	top_10pct	operator	14.846600000000002	3	0.3333	0.1403	0.4997
sma_gap_60	fixed_0.47	headline	12.116600000000002	3	0.3333	0.113	0.47
sma_gap_60	top_10pct	headline	12.116600000000002	3	0.3333	0.113	0.4692
up_day_ratio_20	top_20pct	balance	10.956600000000002	3	0.3333	0.1014	0.4955
ret_60	top_15pct	operator	10.956600000000002	3	0.3333	0.1014	0.4994
ret_60	top_17_5pct	operator	10.956600000000002	3	0.3333	0.1014	0.4993
ret_60	top_20pct	operator	10.956600000000002	3	0.3333	0.1014	0.4992
up_day_ratio_20	top_12_5pct	balance	6.6266	3	0.3333	0.0581	0.4972
up_day_ratio_20	top_15pct	balance	6.6266	3	0.3333	0.0581	0.4964
up_day_ratio_20	top_17_5pct	balance	6.6266	3	0.3333	0.0581	0.4957
ret_60	top_12_5pct	operator	6.6266	3	0.3333	0.0581	0.4995
sma_gap_60	top_20pct	headline	3.4465999999999997	3	0.3333	0.0263	0.4454
ret_60	fixed_0.47	operator	2.0	4	0.5	0.008	0.47
ret_60	fixed_0.49	operator	2.0	4	0.5	0.008	0.49
sma_gap_60	threshold	headline	1.19	4	0.5	-0.0001	0.347
up_day_ratio_20	threshold	balance	1.19	4	0.5	-0.0001	0.478
ret_60	threshold	operator	1.19	4	0.5	-0.0001	0.496
sma_gap_60	top_15pct	headline	0.6265999999999999	3	0.3333	-0.0019	0.4551
sma_gap_60	top_17_5pct	headline	0.4865999999999999	3	0.3333	-0.0033	0.4498
up_day_ratio_20	fixed_0.49	balance	0.32	4	0.5	-0.0088	0.49
up_day_ratio_20	fixed_0.47	balance	0.2099999999999999	4	0.5	-0.0099	0.47
sma_gap_60	top_12_5pct	headline	-2.0534000000000003	3	0.3333	-0.0287	0.4595
