model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound	asset_key	role
sma_gap_60	threshold	0.347	4	0.9442	0.4039	0.9647	0.5	-0.0001	-0.5519	ethe	headline
sma_gap_60	fixed_0.47	0.47	3	0.0977	0.381	0.0941	0.3333	0.113	-0.5154	ethe	headline
sma_gap_60	fixed_0.49	0.49	3	0.0698	0.2667	0.0471	0.3333	0.2106	-0.2922	ethe	headline
sma_gap_60	top_10pct	0.4692	3	0.1023	0.4091	0.1059	0.3333	0.113	-0.5154	ethe	headline
sma_gap_60	top_12_5pct	0.4595	3	0.1256	0.3704	0.1176	0.3333	-0.0287	-0.5154	ethe	headline
sma_gap_60	top_15pct	0.4551	3	0.1535	0.3939	0.1529	0.3333	-0.0019	-0.454	ethe	headline
sma_gap_60	top_17_5pct	0.4498	3	0.1767	0.3947	0.1765	0.3333	-0.0033	-0.4842	ethe	headline
sma_gap_60	top_20pct	0.4454	3	0.2	0.3488	0.1765	0.3333	0.0263	-0.4193	ethe	headline
up_day_ratio_20	threshold	0.478	4	0.9302	0.405	0.9529	0.5	-0.0001	-0.5519	ethe	balance
up_day_ratio_20	fixed_0.47	0.47	4	0.9907	0.3944	0.9882	0.5	-0.0099	-0.5519	ethe	balance
up_day_ratio_20	fixed_0.49	0.49	4	0.5814	0.352	0.5176	0.5	-0.0088	-0.5519	ethe	balance
up_day_ratio_20	top_10pct	0.4987	3	0.1023	0.3636	0.0941	0.3333	0.1403	-0.453	ethe	balance
up_day_ratio_20	top_12_5pct	0.4972	3	0.1256	0.3704	0.1176	0.3333	0.0581	-0.5154	ethe	balance
up_day_ratio_20	top_15pct	0.4964	3	0.1535	0.3333	0.1294	0.3333	0.0581	-0.5154	ethe	balance
up_day_ratio_20	top_17_5pct	0.4957	3	0.1767	0.3158	0.1412	0.3333	0.0581	-0.5154	ethe	balance
up_day_ratio_20	top_20pct	0.4955	3	0.2	0.3488	0.1765	0.3333	0.1014	-0.4193	ethe	balance
ret_60	threshold	0.496	4	0.9442	0.4039	0.9647	0.5	-0.0001	-0.5519	ethe	operator
ret_60	fixed_0.47	0.47	4	1.0	0.3953	1.0	0.5	0.008	-0.5519	ethe	operator
ret_60	fixed_0.49	0.49	4	1.0	0.3953	1.0	0.5	0.008	-0.5519	ethe	operator
ret_60	top_10pct	0.4997	3	0.1023	0.3636	0.0941	0.3333	0.1403	-0.453	ethe	operator
ret_60	top_12_5pct	0.4995	3	0.1256	0.3704	0.1176	0.3333	0.0581	-0.5154	ethe	operator
ret_60	top_15pct	0.4994	3	0.1535	0.3636	0.1412	0.3333	0.1014	-0.4193	ethe	operator
ret_60	top_17_5pct	0.4993	3	0.1767	0.3684	0.1647	0.3333	0.1014	-0.4193	ethe	operator
ret_60	top_20pct	0.4992	3	0.2	0.3488	0.1765	0.3333	0.1014	-0.4193	ethe	operator
