model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.496	4	0.9442	0.4039	0.9647	0.5	-0.0001	-0.5519
ret_60_plus_sma_gap_60	fixed_0.47	0.47	4	1.0	0.3953	1.0	0.5	0.008	-0.5519
ret_60_plus_sma_gap_60	fixed_0.49	0.49	4	1.0	0.3953	1.0	0.5	0.008	-0.5519
ret_60_plus_sma_gap_60	top_12_5pct	0.4996	3	0.1256	0.3704	0.1176	0.3333	0.0581	-0.5154
ret_60_plus_sma_gap_60	top_15pct	0.4994	3	0.1535	0.3636	0.1412	0.3333	0.1014	-0.4193
ret_60_plus_sma_gap_60	top_17_5pct	0.4993	3	0.1767	0.3684	0.1647	0.3333	0.1014	-0.4193
ret_60_plus_sma_gap_60	top_20pct	0.4992	3	0.2	0.3488	0.1765	0.3333	0.1014	-0.4193
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.484	4	0.9488	0.402	0.9647	0.5	-0.0001	-0.5519
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	4	1.0	0.3953	1.0	0.5	0.008	-0.5519
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	4	0.8	0.407	0.8235	0.5	-0.0088	-0.5519
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4959	3	0.1535	0.3333	0.1294	0.3333	0.1014	-0.4193
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.4956	3	0.1767	0.3158	0.1412	0.3333	0.1014	-0.4193
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4954	3	0.2	0.3488	0.1765	0.3333	0.1014	-0.4193
