model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	4	0.5	0.0122	-0.0408	-0.0416	1	1	0.33
ret_60	top_10pct	3	0.6667	0.0454	0.0	0.0	2	1	0.3622
ret_60	top_15pct	4	0.5	0.0265	-0.0387	-0.0416	1	1	0.3384
ret_60	top_20pct	4	0.5	0.0122	-0.0408	-0.0416	1	1	0.328
ret_60	bullish_plus	2	0.5	0.0189	0.0	0.0	1	1	0.33
ret_60	strong_bullish_plus	1	1.0	0.1067	0.0	0.0	1	0	0.33
sma_gap_60	threshold	5	0.6	0.0101	-0.0322	-0.0322	2	1	0.31
sma_gap_60	top_10pct	2	0.5	0.0324	0.0	0.0	1	1	0.3844
sma_gap_60	top_15pct	4	0.5	0.0265	-0.0387	-0.0416	1	1	0.3597
sma_gap_60	top_20pct	4	0.5	0.0005	-0.0596	-0.0582	1	1	0.3445
sma_gap_60	bullish_plus	4	0.5	0.0152	-0.0408	-0.0416	1	1	0.31
sma_gap_60	strong_bullish_plus	2	0.5	0.0189	0.0	0.0	1	1	0.31
ret_60_plus_sma_gap_60	threshold	5	0.6	0.0106	-0.0293	-0.0293	2	1	0.314
ret_60_plus_sma_gap_60	top_10pct	3	0.6667	0.0454	0.0	0.0	2	1	0.3841
ret_60_plus_sma_gap_60	top_15pct	4	0.5	0.0265	-0.0387	-0.0416	1	1	0.3646
ret_60_plus_sma_gap_60	top_20pct	5	0.4	-0.0082	-0.1292	-0.1273	1	2	0.3538
ret_60_plus_sma_gap_60	bullish_plus	4	0.5	0.0081	-0.0571	-0.0582	1	1	0.314
ret_60_plus_sma_gap_60	strong_bullish_plus	2	0.5	0.0189	0.0	0.0	1	1	0.314
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	5	0.6	0.0106	-0.0293	-0.0293	2	1	0.3
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	3	0.6667	0.0454	0.0	0.0	2	1	0.367
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	4	0.5	0.0265	-0.0387	-0.0416	1	1	0.3478
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	4	0.5	0.0081	-0.0571	-0.0582	1	1	0.3386
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	4	0.5	0.0081	-0.0571	-0.0582	1	1	0.3
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	2	0.5	0.0189	0.0	0.0	1	1	0.3
ret_60_plus_sma_gap_60	fixed_0.47	1	1.0	0.1067	0.0	0.0	1	0	0.47
ret_60_plus_sma_gap_60	fixed_0.49	1	1.0	0.1067	0.0	0.0	1	0	0.49
ret_60_plus_sma_gap_60	fixed_0.51	1	1.0	0.1067	0.0	0.0	1	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	37	0.3243	-0.0117	-0.5994	-0.4849	9	15	0.314
ret_60_plus_sma_gap_60	cooldown_10d	22	0.2727	-0.0111	-0.3242	-0.2873	5	10	0.314
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	1	1.0	0.1067	0.0	0.0	1	0	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	1	1.0	0.1067	0.0	0.0	1	0	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
