model_name	rule_name	role	operator_score	selected_count	hit_rate	avg_return	cutoff
ret_60_replaces_ret_20	top_12_5pct	balance	6.4034	3	0.6667	0.0492	0.3483
ret_60	top_12_5pct	operator	6.4034	3	0.6667	0.0492	0.3483
ret_60_replaces_ret_20	top_10pct	balance	6.0234000000000005	3	0.6667	0.0454	0.3622
ret_60	top_10pct	operator	6.0234000000000005	3	0.6667	0.0454	0.3622
sma_gap_120	top_17_5pct	headline	4.8934	3	0.6667	0.0341	0.4951
sma_gap_120	top_15pct	headline	4.5034	3	0.6667	0.0302	0.4956
ret_60_replaces_ret_20	top_15pct	balance	3.85	4	0.5	0.0265	0.3384
ret_60	top_15pct	operator	3.85	4	0.5	0.0265	0.3384
ret_60_replaces_ret_20	threshold	balance	2.42	4	0.5	0.0122	0.33
ret_60_replaces_ret_20	top_17_5pct	balance	2.42	4	0.5	0.0122	0.3332
ret_60_replaces_ret_20	top_20pct	balance	2.42	4	0.5	0.0122	0.328
ret_60	threshold	operator	2.42	4	0.5	0.0122	0.33
ret_60	top_17_5pct	operator	2.42	4	0.5	0.0122	0.3332
ret_60	top_20pct	operator	2.42	4	0.5	0.0122	0.328
sma_gap_120	top_20pct	headline	1.67	4	0.5	0.0047	0.4948
sma_gap_120	fixed_0.47	headline	0.07999999999999985	5	0.6	-0.0137	0.47
sma_gap_120	fixed_0.49	headline	0.07999999999999985	5	0.6	-0.0137	0.49
