model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound	asset_key	role
sma_gap_120	threshold	0.496	2	0.1306	0.8	0.6829	0.5	0.038	0.0	fxb	headline
sma_gap_120	fixed_0.47	0.47	5	1.0	0.153	1.0	0.6	-0.0137	-0.0322	fxb	headline
sma_gap_120	fixed_0.49	0.49	5	0.9925	0.1541	1.0	0.6	-0.0137	-0.0322	fxb	headline
sma_gap_120	top_10pct	0.497	2	0.1007	0.8148	0.5366	0.5	0.0481	0.0	fxb	headline
sma_gap_120	top_12_5pct	0.4964	2	0.1269	0.7941	0.6585	0.5	0.0481	0.0	fxb	headline
sma_gap_120	top_15pct	0.4956	3	0.153	0.7317	0.7317	0.6667	0.0302	0.0	fxb	headline
sma_gap_120	top_17_5pct	0.4951	3	0.1754	0.6596	0.7561	0.6667	0.0341	0.0	fxb	headline
sma_gap_120	top_20pct	0.4948	4	0.2015	0.5926	0.7805	0.5	0.0047	-0.0416	fxb	headline
ret_60_replaces_ret_20	threshold	0.33	4	0.1903	0.5882	0.7317	0.5	0.0122	-0.0416	fxb	balance
ret_60_replaces_ret_20	fixed_0.47	0.47	1	0.0075	1.0	0.0488	1.0	0.1067	0.0	fxb	balance
ret_60_replaces_ret_20	fixed_0.49	0.49	1	0.0037	1.0	0.0244	1.0	0.1067	0.0	fxb	balance
ret_60_replaces_ret_20	top_10pct	0.3622	3	0.1007	0.7778	0.5122	0.6667	0.0454	0.0	fxb	balance
ret_60_replaces_ret_20	top_12_5pct	0.3483	3	0.1269	0.7941	0.6585	0.6667	0.0492	0.0	fxb	balance
ret_60_replaces_ret_20	top_15pct	0.3384	4	0.153	0.7073	0.7073	0.5	0.0265	-0.0416	fxb	balance
ret_60_replaces_ret_20	top_17_5pct	0.3332	4	0.1754	0.6383	0.7317	0.5	0.0122	-0.0416	fxb	balance
ret_60_replaces_ret_20	top_20pct	0.328	4	0.2015	0.5556	0.7317	0.5	0.0122	-0.0416	fxb	balance
ret_60	threshold	0.33	4	0.1903	0.5882	0.7317	0.5	0.0122	-0.0416	fxb	operator
ret_60	fixed_0.47	0.47	1	0.0075	1.0	0.0488	1.0	0.1067	0.0	fxb	operator
ret_60	fixed_0.49	0.49	1	0.0037	1.0	0.0244	1.0	0.1067	0.0	fxb	operator
ret_60	top_10pct	0.3622	3	0.1007	0.7778	0.5122	0.6667	0.0454	0.0	fxb	operator
ret_60	top_12_5pct	0.3483	3	0.1269	0.7941	0.6585	0.6667	0.0492	0.0	fxb	operator
ret_60	top_15pct	0.3384	4	0.153	0.7073	0.7073	0.5	0.0265	-0.0416	fxb	operator
ret_60	top_17_5pct	0.3332	4	0.1754	0.6383	0.7317	0.5	0.0122	-0.0416	fxb	operator
ret_60	top_20pct	0.328	4	0.2015	0.5556	0.7317	0.5	0.0122	-0.0416	fxb	operator
