model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	5	0.2	-0.0165	-0.1468	-0.138	1	4	0.433
ret_60	top_10pct	2	0.5	0.0112	0.0	0.0	1	1	0.4831
ret_60	top_15pct	2	0.5	0.0127	0.0	0.0	1	1	0.475
ret_60	top_20pct	3	0.3333	-0.0019	-0.0302	-0.031	1	1	0.4701
ret_60	bullish_plus	3	0.0	-0.0184	-0.0422	-0.0413	0	3	0.433
ret_60	strong_bullish_plus	2	0.5	0.0112	0.0	0.0	1	1	0.433
sma_gap_60	threshold	5	0.2	-0.0151	-0.1504	-0.1412	1	4	0.468
sma_gap_60	top_10pct	2	0.5	0.0112	0.0	0.0	1	1	0.4933
sma_gap_60	top_15pct	3	0.3333	-0.0019	-0.0302	-0.031	1	1	0.4892
sma_gap_60	top_20pct	3	0.3333	-0.0009	-0.0301	-0.031	1	1	0.4853
sma_gap_60	bullish_plus	3	0.0	-0.0184	-0.0422	-0.0413	0	3	0.468
sma_gap_60	strong_bullish_plus	2	0.5	0.0112	0.0	0.0	1	1	0.468
ret_60_plus_sma_gap_60	threshold	5	0.2	-0.0165	-0.1468	-0.138	1	4	0.402
ret_60_plus_sma_gap_60	top_10pct	2	0.5	0.0112	0.0	0.0	1	1	0.4731
ret_60_plus_sma_gap_60	top_15pct	2	0.5	0.0127	0.0	0.0	1	1	0.4639
ret_60_plus_sma_gap_60	top_20pct	3	0.3333	-0.0019	-0.0302	-0.031	1	1	0.4564
ret_60_plus_sma_gap_60	bullish_plus	3	0.0	-0.0184	-0.0422	-0.0413	0	3	0.402
ret_60_plus_sma_gap_60	strong_bullish_plus	2	0.5	0.0112	0.0	0.0	1	1	0.402
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	5	0.2	-0.0148	-0.1379	-0.13	1	4	0.345
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	2	0.5	0.0112	0.0	0.0	1	1	0.441
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	3	0.3333	-0.0017	-0.0298	-0.0306	1	1	0.4285
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	3	0.3333	-0.0042	-0.0372	-0.0381	1	1	0.4196
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	3	0.0	-0.0184	-0.0422	-0.0413	0	3	0.345
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	2	0.5	0.0112	0.0	0.0	1	1	0.345
ret_60_plus_sma_gap_60	fixed_0.47	2	0.5	0.0112	0.0	0.0	1	1	0.47
ret_60_plus_sma_gap_60	fixed_0.49	2	0.5	0.029	0.0	0.0	1	1	0.49
ret_60_plus_sma_gap_60	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	39	0.4103	0.0067	-0.4934	-0.4235	9	12	0.402
ret_60_plus_sma_gap_60	cooldown_10d	23	0.3913	0.004	-0.3153	-0.3019	5	8	0.402
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	2	0.5	0.039	0.0	0.0	1	1	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0	0.0	0.0	0.0	0.0	0	0	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
