strategy_name	rule_name	trade_count	hit_rate	avg_return
combo_threshold	threshold	10	0.1	-0.04358265031488902
combo_fixed_0_49	fixed_0.49	12	0.08333333333333333	-0.04693914431847512
combo_top_12_5pct	top_12_5pct	10	0.2	-0.01805251316673514
combo_top_15pct	top_15pct	11	0.18181818181818182	-0.012493064390169869
combo_top_17_5pct	top_17_5pct	12	0.16666666666666666	-0.014515473378052349
combo_top_20pct	top_20pct	13	0.23076923076923078	-0.01615612237253659
combo_neg115_top_17_5pct	top_17_5pct	12	0.16666666666666666	-0.014515473378052349
combo_neg115_threshold	threshold	10	0.1	-0.04358265031488902
combo_neg115_fixed_0_47	fixed_0.47	15	0.06666666666666667	-0.041143133708440645
combo_neg115_fixed_0_49	fixed_0.49	14	0.14285714285714285	-0.027919270491459997
combo_neg115_top_15pct	top_15pct	12	0.16666666666666666	-0.014034324622957237
combo_neg115_top_20pct	top_20pct	13	0.23076923076923078	-0.01615612237253659
sma_gap_60_top15	top_15pct	12	0.16666666666666666	-0.015438330083883484
