model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.402	5	0.786	0.3515	0.9467	0.2	-0.0165	-0.138
ret_60_plus_sma_gap_60	fixed_0.47	0.47	2	0.1206	0.6774	0.28	0.5	0.0112	0.0
ret_60_plus_sma_gap_60	fixed_0.49	0.49	2	0.0272	0.7143	0.0667	0.5	0.029	0.0
ret_60_plus_sma_gap_60	top_12_5pct	0.4688	2	0.1284	0.6364	0.28	0.5	0.0127	0.0
ret_60_plus_sma_gap_60	top_15pct	0.4639	2	0.1518	0.5897	0.3067	0.5	0.0127	0.0
ret_60_plus_sma_gap_60	top_17_5pct	0.4595	2	0.1751	0.5111	0.3067	0.5	0.0127	0.0
ret_60_plus_sma_gap_60	top_20pct	0.4564	3	0.2023	0.4615	0.32	0.3333	-0.0019	-0.031
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.345	5	0.7821	0.3582	0.96	0.2	-0.0148	-0.13
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	2	0.0156	0.75	0.04	0.5	0.039	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	0	0.0	0.0	0.0	0.0	0.0	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4285	3	0.1518	0.5641	0.2933	0.3333	-0.0017	-0.0306
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.4232	3	0.1751	0.4889	0.2933	0.3333	-0.0017	-0.0306
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4196	3	0.2023	0.4615	0.32	0.3333	-0.0042	-0.0381
