model_name	rule_name	role	operator_score	selected_count	hit_rate	avg_return	cutoff
ret_60_plus_sma_gap_60	fixed_0.47	operator	12.36	10	0.8	0.1026	0.47
ret_60_plus_sma_gap_60_interaction	threshold	headline	11.5946	11	0.7273	0.0959	0.418
ret_60_plus_sma_gap_60	fixed_0.49	operator	11.546600000000002	6	0.8333	0.0958	0.49
ret_60_plus_sma_gap_60	top_20pct	operator	11.528599999999999	7	0.7143	0.0975	0.4838
ret_60_plus_sma_gap_60	threshold	operator	11.184600000000001	11	0.7273	0.0918	0.451
ret_60_plus_sma_gap_60	top_10pct	operator	10.7342	7	0.8571	0.0867	0.4875
ret_60_plus_sma_gap_60	top_15pct	operator	10.238599999999998	7	0.7143	0.0846	0.4858
ret_60_plus_sma_gap_60_interaction	fixed_0.47	headline	10.209999999999999	8	0.75	0.0831	0.47
ret_60_plus_sma_gap_60_interaction	top_20pct	headline	10.209999999999999	8	0.75	0.0831	0.47
ret_60_plus_sma_gap_60	top_12_5pct	operator	9.818599999999998	7	0.7143	0.0804	0.4866
ret_60_plus_sma_gap_60	top_17_5pct	operator	9.4486	7	0.7143	0.0767	0.4847
ret_60_plus_sma_gap_60_interaction	top_10pct	headline	9.364199999999999	7	0.8571	0.073	0.4758
ret_60_plus_sma_gap_60_interaction	top_17_5pct	headline	9.1086	7	0.7143	0.0733	0.4707
ret_60_plus_sma_gap_60_interaction	top_12_5pct	headline	8.8686	7	0.7143	0.0709	0.4743
ret_60_plus_sma_gap_60_interaction	top_15pct	headline	8.8686	7	0.7143	0.0709	0.472
ret_60_plus_sma_gap_60_interaction	fixed_0.49	headline	5.7834	3	0.6667	0.043	0.49
