model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound	asset_key	role
ret_60_plus_sma_gap_60_interaction	threshold	0.418	11	0.7822	0.748	0.8519	0.7273	0.0959	-0.0448	gld	headline
ret_60_plus_sma_gap_60_interaction	fixed_0.47	0.47	8	0.2035	0.7031	0.2083	0.75	0.0831	-0.0306	gld	headline
ret_60_plus_sma_gap_60_interaction	fixed_0.49	0.49	3	0.0127	0.625	0.0116	0.6667	0.043	-0.0107	gld	headline
ret_60_plus_sma_gap_60_interaction	top_10pct	0.4758	7	0.1002	0.6984	0.1019	0.8571	0.073	-0.0107	gld	headline
ret_60_plus_sma_gap_60_interaction	top_12_5pct	0.4743	7	0.1256	0.6835	0.125	0.7143	0.0709	-0.0107	gld	headline
ret_60_plus_sma_gap_60_interaction	top_15pct	0.472	7	0.151	0.6842	0.1505	0.7143	0.0709	-0.0107	gld	headline
ret_60_plus_sma_gap_60_interaction	top_17_5pct	0.4707	7	0.1749	0.6818	0.1736	0.7143	0.0733	-0.0107	gld	headline
ret_60_plus_sma_gap_60_interaction	top_20pct	0.47	8	0.2003	0.6984	0.2037	0.75	0.0831	-0.0306	gld	headline
ret_60_plus_sma_gap_60	threshold	0.451	11	0.8569	0.7328	0.9144	0.7273	0.0918	-0.09	gld	operator
ret_60_plus_sma_gap_60	fixed_0.47	0.47	10	0.531	0.7305	0.5648	0.8	0.1026	-0.0258	gld	operator
ret_60_plus_sma_gap_60	fixed_0.49	0.49	6	0.0604	0.5	0.044	0.8333	0.0958	-0.0107	gld	operator
ret_60_plus_sma_gap_60	top_10pct	0.4875	7	0.1002	0.5079	0.0741	0.8571	0.0867	-0.0107	gld	operator
ret_60_plus_sma_gap_60	top_12_5pct	0.4866	7	0.1256	0.5063	0.0926	0.7143	0.0804	-0.0107	gld	operator
ret_60_plus_sma_gap_60	top_15pct	0.4858	7	0.151	0.5368	0.1181	0.7143	0.0846	-0.0107	gld	operator
ret_60_plus_sma_gap_60	top_17_5pct	0.4847	7	0.1749	0.5727	0.1458	0.7143	0.0767	-0.0214	gld	operator
ret_60_plus_sma_gap_60	top_20pct	0.4838	7	0.2003	0.6032	0.1759	0.7143	0.0975	-0.0213	gld	operator
