model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	2	0.0	-0.0202	-0.0217	-0.0212	0	2	0.489
ret_60	top_10pct	2	0.0	-0.0202	-0.0217	-0.0212	0	2	0.4891
ret_60	top_15pct	2	0.0	-0.0202	-0.0217	-0.0212	0	2	0.4881
ret_60	top_20pct	2	0.0	-0.0692	-0.0489	-0.0443	0	2	0.4872
ret_60	bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.489
ret_60	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.489
sma_gap_60	threshold	2	0.0	-0.0202	-0.0217	-0.0212	0	2	0.497
sma_gap_60	top_10pct	2	0.0	-0.0202	-0.0217	-0.0212	0	2	0.4968
sma_gap_60	top_15pct	2	0.0	-0.0202	-0.0217	-0.0212	0	2	0.4965
sma_gap_60	top_20pct	2	0.0	-0.0692	-0.0489	-0.0443	0	2	0.4962
sma_gap_60	bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.497
sma_gap_60	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.497
ret_60_plus_sma_gap_60	threshold	2	0.0	-0.0202	-0.0217	-0.0212	0	2	0.486
ret_60_plus_sma_gap_60	top_10pct	2	0.0	-0.0202	-0.0217	-0.0212	0	2	0.4863
ret_60_plus_sma_gap_60	top_15pct	2	0.0	-0.0452	-0.0228	-0.0212	0	2	0.4849
ret_60_plus_sma_gap_60	top_20pct	2	0.0	-0.0692	-0.0489	-0.0443	0	2	0.484
ret_60_plus_sma_gap_60	bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.486
ret_60_plus_sma_gap_60	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.486
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	2	0.0	-0.0202	-0.0217	-0.0212	0	2	0.487
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	2	0.0	-0.0202	-0.0217	-0.0212	0	2	0.4871
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	2	0.0	-0.0452	-0.0228	-0.0212	0	2	0.4861
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	2	0.0	-0.0692	-0.0489	-0.0443	0	2	0.4852
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.487
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.487
ret_60_plus_sma_gap_60	fixed_0.47	4	0.0	-0.039	-0.0683	-0.0607	0	4	0.47
ret_60_plus_sma_gap_60	fixed_0.49	2	0.5	-0.0093	0.0	0.0	1	1	0.49
ret_60_plus_sma_gap_60	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	8	0.5	-0.0052	-0.0758	-0.0752	2	2	0.486
ret_60_plus_sma_gap_60	cooldown_10d	6	0.3333	-0.0139	-0.0776	-0.0752	1	2	0.486
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	4	0.0	-0.039	-0.0683	-0.0607	0	4	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	2	0.5	-0.0093	0.0	0.0	1	1	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
