strategy_name	rule_name	trade_count	hit_rate	avg_return
combo_threshold	threshold	8	0.25	-0.026293856241310684
combo_fixed_0_49	fixed_0.49	9	0.2222222222222222	-0.02629251458197828
combo_top_12_5pct	top_12_5pct	7	0.2857142857142857	-0.020456342046713205
combo_top_15pct	top_15pct	7	0.14285714285714285	-0.026331762272306953
combo_top_17_5pct	top_17_5pct	8	0.125	-0.03295449274626483
combo_top_20pct	top_20pct	9	0.2222222222222222	-0.02535894183365206
combo_neg115_top_17_5pct	top_17_5pct	8	0.125	-0.03295449274626483
combo_neg115_threshold	threshold	8	0.25	-0.01873828342060073
combo_neg115_fixed_0_47	fixed_0.47	15	0.2	-0.021791053523523677
combo_neg115_fixed_0_49	fixed_0.49	8	0.125	-0.030808340453576638
combo_neg115_top_15pct	top_15pct	7	0.14285714285714285	-0.028313656840258074
combo_neg115_top_20pct	top_20pct	8	0.125	-0.031588515610258286
sma_gap_60_top15	top_15pct	7	0.0	-0.03964746199253777
