model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.486	2	0.1078	0.04	0.1429	0.0	-0.0202	-0.0212
ret_60_plus_sma_gap_60	fixed_0.47	0.47	4	0.9871	0.0306	1.0	0.0	-0.039	-0.0607
ret_60_plus_sma_gap_60	fixed_0.49	0.49	2	0.0172	0.0	0.0	0.5	-0.0093	0.0
ret_60_plus_sma_gap_60	top_12_5pct	0.4854	2	0.125	0.0345	0.1429	0.0	-0.0202	-0.0212
ret_60_plus_sma_gap_60	top_15pct	0.4849	2	0.1509	0.0286	0.1429	0.0	-0.0452	-0.0212
ret_60_plus_sma_gap_60	top_17_5pct	0.4845	2	0.1767	0.0244	0.1429	0.0	-0.0692	-0.0443
ret_60_plus_sma_gap_60	top_20pct	0.484	2	0.2026	0.0213	0.1429	0.0	-0.0692	-0.0443
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.487	2	0.1078	0.04	0.1429	0.0	-0.0202	-0.0212
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	4	1.0	0.0302	1.0	0.0	-0.039	-0.0607
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	2	0.0172	0.0	0.0	0.5	-0.0093	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4861	2	0.1509	0.0286	0.1429	0.0	-0.0452	-0.0212
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.4857	2	0.1767	0.0244	0.1429	0.0	-0.0692	-0.0443
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4852	2	0.2026	0.0213	0.1429	0.0	-0.0692	-0.0443
