model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	12	0.5833	0.0298	-0.1076	-0.145	2	1	0.488
ret_60	top_10pct	6	0.6667	0.0548	-0.0184	-0.0208	2	1	0.4941
ret_60	top_15pct	9	0.7778	0.054	-0.0184	-0.0208	4	1	0.4929
ret_60	top_20pct	10	0.8	0.0487	-0.0184	-0.0208	4	1	0.4919
ret_60	bullish_plus	9	0.7778	0.0509	-0.0184	-0.0208	4	1	0.488
ret_60	strong_bullish_plus	5	0.8	0.0513	-0.0833	-0.0934	3	1	0.488
sma_gap_60	threshold	12	0.5833	0.0233	-0.1353	-0.1739	3	2	0.471
sma_gap_60	top_10pct	7	0.5714	0.0469	-0.0184	-0.0208	2	1	0.4845
sma_gap_60	top_15pct	9	0.7778	0.0486	-0.0248	-0.0281	4	1	0.481
sma_gap_60	top_20pct	10	0.8	0.0569	-0.0248	-0.0281	4	1	0.4788
sma_gap_60	bullish_plus	9	0.7778	0.0494	-0.0184	-0.0208	4	1	0.471
sma_gap_60	strong_bullish_plus	4	1.0	0.0839	0.0	0.0	4	0	0.471
ret_60_plus_sma_gap_60	threshold	12	0.5833	0.0298	-0.1076	-0.145	2	1	0.495
ret_60_plus_sma_gap_60	top_10pct	6	0.6667	0.0548	-0.0184	-0.0208	2	1	0.4976
ret_60_plus_sma_gap_60	top_15pct	9	0.7778	0.054	-0.0184	-0.0208	4	1	0.4971
ret_60_plus_sma_gap_60	top_20pct	10	0.8	0.0487	-0.0184	-0.0208	4	1	0.4967
ret_60_plus_sma_gap_60	bullish_plus	10	0.7	0.0546	-0.0184	-0.0208	4	1	0.495
ret_60_plus_sma_gap_60	strong_bullish_plus	5	0.8	0.0513	-0.0833	-0.0934	3	1	0.495
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	12	0.5833	0.024	-0.1346	-0.1739	3	2	0.456
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	6	0.6667	0.0548	-0.0184	-0.0208	2	1	0.4721
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	9	0.7778	0.0494	-0.0184	-0.0208	4	1	0.4683
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	10	0.8	0.047	-0.0248	-0.0281	4	1	0.4656
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	8	0.75	0.0471	-0.0184	-0.0208	3	1	0.456
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	2	1.0	0.124	0.0	0.0	2	0	0.456
ret_60_plus_sma_gap_60	fixed_0.47	13	0.6154	0.0383	-0.0724	-0.1067	4	2	0.47
ret_60_plus_sma_gap_60	fixed_0.49	13	0.6154	0.0383	-0.0724	-0.1067	4	2	0.49
ret_60_plus_sma_gap_60	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	103	0.6893	0.0346	-0.1913	-0.5072	14	9	0.495
ret_60_plus_sma_gap_60	cooldown_10d	61	0.7049	0.035	-0.1551	-0.3544	15	6	0.495
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	8	0.75	0.0471	-0.0184	-0.0208	3	1	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	2	1.0	0.1296	0.0	0.0	2	0	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	1	1.0	0.2197	0.0	0.0	1	0	0.51
