strategy_name	rule_name	trade_count	hit_rate	avg_return
combo_threshold	threshold	42	0.6666666666666666	0.029379194873183925
combo_fixed_0_49	fixed_0.49	30	0.6333333333333333	0.026965575566193667
combo_top_12_5pct	top_12_5pct	27	0.7407407407407407	0.04300843727338286
combo_top_15pct	top_15pct	30	0.8	0.0474655709735087
combo_top_17_5pct	top_17_5pct	31	0.7741935483870968	0.040927494968984936
combo_top_20pct	top_20pct	32	0.75	0.02953716879124153
combo_neg115_top_17_5pct	top_17_5pct	30	0.8	0.04479404661727737
combo_neg115_threshold	threshold	42	0.6428571428571429	0.028771913560259807
combo_neg115_fixed_0_47	fixed_0.47	41	0.6341463414634146	0.0254222176105973
combo_neg115_fixed_0_49	fixed_0.49	33	0.6666666666666666	0.032667675637379386
combo_neg115_top_15pct	top_15pct	27	0.8148148148148148	0.05004895639277634
combo_neg115_top_20pct	top_20pct	32	0.71875	0.02822302313190201
sma_gap_60_top15	top_15pct	30	0.8	0.04821703977677354
