model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound	asset_key	role
ret_60_plus_sma_gap_60_plus_above_200dma_flag	threshold	0.495	12	0.5941	0.4819	0.7148	0.5833	0.0293	-0.1739	ijh	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	fixed_0.47	0.47	13	1.0	0.4005	1.0	0.6154	0.0383	-0.1067	ijh	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	fixed_0.49	0.49	13	1.0	0.4005	1.0	0.6154	0.0383	-0.1067	ijh	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_10pct	0.4978	6	0.1008	0.6933	0.1745	0.6667	0.0222	-0.0934	ijh	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_12_5pct	0.4974	7	0.125	0.6344	0.198	0.7143	0.0248	-0.0934	ijh	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_15pct	0.4971	8	0.1505	0.6161	0.2315	0.75	0.0368	-0.0761	ijh	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_17_5pct	0.497	10	0.1761	0.5954	0.2617	0.7	0.0492	-0.0208	ijh	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_20pct	0.4967	10	0.2003	0.5772	0.2886	0.7	0.0508	-0.0208	ijh	headline
ret_60_plus_all_regime_features	threshold	0.485	11	0.4059	0.5464	0.5537	0.7273	0.0493	-0.0267	ijh	balance
ret_60_plus_all_regime_features	fixed_0.47	0.47	13	1.0	0.4005	1.0	0.6154	0.0383	-0.1067	ijh	balance
ret_60_plus_all_regime_features	fixed_0.49	0.49	5	0.078	0.6379	0.1242	0.8	0.0535	-0.0934	ijh	balance
ret_60_plus_all_regime_features	top_10pct	0.4891	6	0.1008	0.6	0.151	0.6667	0.0516	-0.0302	ijh	balance
ret_60_plus_all_regime_features	top_12_5pct	0.4883	6	0.125	0.5914	0.1846	0.6667	0.0516	-0.0302	ijh	balance
ret_60_plus_all_regime_features	top_15pct	0.4877	7	0.1505	0.5893	0.2215	0.7143	0.0602	-0.0208	ijh	balance
ret_60_plus_all_regime_features	top_17_5pct	0.4873	8	0.1761	0.5878	0.2584	0.75	0.0682	-0.0281	ijh	balance
ret_60_plus_all_regime_features	top_20pct	0.4867	8	0.2003	0.557	0.2785	0.75	0.0534	-0.0281	ijh	balance
sma_gap_60	threshold	0.471	12	0.5296	0.4289	0.5671	0.5833	0.0233	-0.1739	ijh	operator
sma_gap_60	fixed_0.47	0.47	12	0.582	0.4203	0.6107	0.5	0.0248	-0.1568	ijh	operator
sma_gap_60	fixed_0.49	0.49	6	0.043	0.5625	0.0604	0.6667	0.0306	-0.0934	ijh	operator
sma_gap_60	top_10pct	0.4845	7	0.1008	0.4933	0.1242	0.5714	0.0469	-0.0208	ijh	operator
sma_gap_60	top_12_5pct	0.4831	9	0.125	0.4946	0.1544	0.7778	0.0494	-0.0208	ijh	operator
sma_gap_60	top_15pct	0.481	9	0.1505	0.4732	0.1779	0.7778	0.0486	-0.0281	ijh	operator
sma_gap_60	top_17_5pct	0.4799	10	0.1761	0.4656	0.2047	0.8	0.048	-0.0281	ijh	operator
sma_gap_60	top_20pct	0.4788	10	0.2003	0.5034	0.2517	0.8	0.0569	-0.0281	ijh	operator
