model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.495	12	0.7043	0.4218	0.7416	0.5833	0.0298	-0.145
ret_60_plus_sma_gap_60	fixed_0.47	0.47	13	1.0	0.4005	1.0	0.6154	0.0383	-0.1067
ret_60_plus_sma_gap_60	fixed_0.49	0.49	13	1.0	0.4005	1.0	0.6154	0.0383	-0.1067
ret_60_plus_sma_gap_60	top_12_5pct	0.4973	8	0.125	0.5591	0.1745	0.625	0.0445	-0.0208
ret_60_plus_sma_gap_60	top_15pct	0.4971	9	0.1505	0.5357	0.2013	0.7778	0.054	-0.0208
ret_60_plus_sma_gap_60	top_17_5pct	0.4969	10	0.1761	0.542	0.2383	0.7	0.0449	-0.0208
ret_60_plus_sma_gap_60	top_20pct	0.4967	10	0.2003	0.5235	0.2617	0.8	0.0487	-0.0208
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.456	12	0.5175	0.4442	0.5738	0.5833	0.024	-0.1739
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	8	0.1331	0.5152	0.1711	0.75	0.0471	-0.0208
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	2	0.0148	0.5455	0.0201	1.0	0.1296	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4683	9	0.1505	0.5268	0.198	0.7778	0.0494	-0.0208
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.4666	9	0.1761	0.5191	0.2282	0.7778	0.0556	-0.0281
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4656	10	0.2003	0.5101	0.255	0.8	0.047	-0.0281
