date	baseline_threshold	rs_sidecar_threshold
2025-11-10	True	True
2025-11-11	False	False
2025-11-12	True	True
2025-11-13	True	True
2025-11-14	True	True
2025-11-17	True	True
2025-11-18	True	True
2025-11-19	True	True
2025-11-20	True	True
2025-11-21	True	True
2025-11-24	True	True
2025-11-25	True	True
2025-12-01	True	True
2025-12-02	True	True
2025-12-11	False	False
2025-12-22	True	True
2025-12-31	False	False
2026-01-06	True	True
2026-01-07	False	False
2026-01-08	False	False
2026-01-09	False	False
2026-01-12	False	False
2026-01-13	False	False
2026-01-14	False	False
2026-01-15	False	False
2026-01-16	False	False
2026-01-20	True	True
2026-01-21	True	True
2026-01-22	False	False
2026-01-23	True	True
2026-01-26	True	True
2026-01-27	True	False
2026-01-28	True	True
2026-01-29	True	True
2026-01-30	True	True
2026-02-02	True	True
2026-02-03	True	True
2026-02-04	True	True
2026-02-05	True	True
2026-02-06	True	True
2026-02-09	True	True
2026-02-10	True	True
2026-02-11	True	True
2026-02-12	True	True
2026-02-13	True	True
2026-02-17	True	True
2026-02-18	True	True
2026-02-19	True	True
2026-02-20	True	True
2026-02-23	True	True
2026-02-24	False	False
2026-02-25	False	False
2026-02-26	False	False
2026-02-27	True	True
2026-03-02	True	True
2026-03-03	True	True
2026-03-04	True	True
2026-03-05	True	True
2026-03-09	True	True
2026-03-10	True	True
