model_name	rule_name	date	close	predicted_probability	selected	threshold	cutoff
baseline	threshold	2025-11-10	244.029999	0.453999	True	0.45	0.45
baseline	threshold	2025-11-11	244.240005	0.448755	False	0.45	0.45
baseline	threshold	2025-11-12	243.639999	0.454113	True	0.45	0.45
baseline	threshold	2025-11-13	236.789993	0.477778	True	0.45	0.45
baseline	threshold	2025-11-14	237.479996	0.470208	True	0.45	0.45
baseline	threshold	2025-11-17	232.759995	0.475798	True	0.45	0.45
baseline	threshold	2025-11-18	233.470001	0.468362	True	0.45	0.45
baseline	threshold	2025-11-19	233.429993	0.467999	True	0.45	0.45
baseline	threshold	2025-11-20	229.110001	0.479547	True	0.45	0.45
baseline	threshold	2025-11-21	235.600006	0.478524	True	0.45	0.45
baseline	threshold	2025-11-24	239.899994	0.465076	True	0.45	0.45
baseline	threshold	2025-11-25	245.130005	0.465989	True	0.45	0.45
baseline	threshold	2025-12-01	245.619995	0.464039	True	0.45	0.45
baseline	threshold	2025-12-02	245.169998	0.458656	True	0.45	0.45
baseline	threshold	2025-12-11	257.799988	0.434007	False	0.45	0.45
baseline	threshold	2025-12-22	253.580002	0.450595	True	0.45	0.45
baseline	threshold	2025-12-31	246.160004	0.446934	False	0.45	0.45
baseline	threshold	2026-01-06	256.079987	0.451744	True	0.45	0.45
baseline	threshold	2026-01-07	255.479996	0.446784	False	0.45	0.45
baseline	threshold	2026-01-08	258.269989	0.438027	False	0.45	0.45
baseline	threshold	2026-01-09	260.230011	0.438762	False	0.45	0.45
baseline	threshold	2026-01-12	261.5	0.433661	False	0.45	0.45
baseline	threshold	2026-01-13	261.350006	0.44461	False	0.45	0.45
baseline	threshold	2026-01-14	263.190002	0.435239	False	0.45	0.45
baseline	threshold	2026-01-15	265.51001	0.434449	False	0.45	0.45
baseline	threshold	2026-01-16	265.76001	0.43325	False	0.45	0.45
baseline	threshold	2026-01-20	262.579987	0.456589	True	0.45	0.45
baseline	threshold	2026-01-21	267.790009	0.452682	True	0.45	0.45
baseline	threshold	2026-01-22	269.790009	0.440266	False	0.45	0.45
baseline	threshold	2026-01-23	264.809998	0.462648	True	0.45	0.45
baseline	threshold	2026-01-26	263.980011	0.459017	True	0.45	0.45
baseline	threshold	2026-01-27	264.730011	0.45174	True	0.45	0.45
baseline	threshold	2026-01-28	263.299988	0.455826	True	0.45	0.45
baseline	threshold	2026-01-29	263.369995	0.45724	True	0.45	0.45
baseline	threshold	2026-01-30	259.649994	0.460939	True	0.45	0.45
baseline	threshold	2026-02-02	262.179993	0.457497	True	0.45	0.45
baseline	threshold	2026-02-03	262.779999	0.462877	True	0.45	0.45
baseline	threshold	2026-02-04	260.519989	0.460281	True	0.45	0.45
baseline	threshold	2026-02-05	255.830002	0.467454	True	0.45	0.45
baseline	threshold	2026-02-06	265.019989	0.468047	True	0.45	0.45
baseline	threshold	2026-02-09	266.880005	0.462864	True	0.45	0.45
baseline	threshold	2026-02-10	266.160004	0.461858	True	0.45	0.45
baseline	threshold	2026-02-11	264.950012	0.474875	True	0.45	0.45
baseline	threshold	2026-02-12	259.540009	0.485795	True	0.45	0.45
baseline	threshold	2026-02-13	262.959991	0.47097	True	0.45	0.45
baseline	threshold	2026-02-17	263.040009	0.464554	True	0.45	0.45
baseline	threshold	2026-02-18	263.98999	0.465333	True	0.45	0.45
baseline	threshold	2026-02-19	264.600006	0.457459	True	0.45	0.45
baseline	threshold	2026-02-20	264.609985	0.459344	True	0.45	0.45
baseline	threshold	2026-02-23	260.48999	0.457965	True	0.45	0.45
baseline	threshold	2026-02-24	263.329987	0.44978	False	0.45	0.45
baseline	threshold	2026-02-25	264.579987	0.444444	False	0.45	0.45
baseline	threshold	2026-02-26	265.98999	0.448742	False	0.45	0.45
baseline	threshold	2026-02-27	261.410004	0.456632	True	0.45	0.45
baseline	threshold	2026-03-02	263.809998	0.458981	True	0.45	0.45
baseline	threshold	2026-03-03	259.23999	0.471498	True	0.45	0.45
baseline	threshold	2026-03-04	261.76001	0.457837	True	0.45	0.45
baseline	threshold	2026-03-05	256.76001	0.472663	True	0.45	0.45
baseline	threshold	2026-03-09	253.619995	0.478774	True	0.45	0.45
baseline	threshold	2026-03-10	253.360001	0.473054	True	0.45	0.45
rs_vs_benchmark_60	threshold	2025-11-10	244.029999	0.438973	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-11-11	244.240005	0.43287	False	0.436	0.436
rs_vs_benchmark_60	threshold	2025-11-12	243.639999	0.439112	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-11-13	236.789993	0.467703	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-11-14	237.479996	0.458546	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-11-17	232.759995	0.466289	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-11-18	233.470001	0.456657	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-11-19	233.429993	0.456571	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-11-20	229.110001	0.470838	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-11-21	235.600006	0.470214	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-11-24	239.899994	0.454688	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-11-25	245.130005	0.456912	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-12-01	245.619995	0.45515	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-12-02	245.169998	0.449354	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-12-11	257.799988	0.416869	False	0.436	0.436
rs_vs_benchmark_60	threshold	2025-12-22	253.580002	0.436609	True	0.436	0.436
rs_vs_benchmark_60	threshold	2025-12-31	246.160004	0.4318	False	0.436	0.436
