model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.424	2	0.1106	0.0833	0.2222	0.0	-0.0131	-0.0002
ret_60_plus_sma_gap_60	fixed_0.47	0.47	1	0.0092	0.0	0.0	0.0	-0.0605	0.0
ret_60_plus_sma_gap_60	fixed_0.49	0.49	1	0.0046	0.0	0.0	0.0	-0.0605	0.0
ret_60_plus_sma_gap_60	top_12_5pct	0.4167	2	0.129	0.0714	0.2222	0.0	-0.0131	-0.0002
ret_60_plus_sma_gap_60	top_15pct	0.4066	2	0.1521	0.0606	0.2222	0.0	-0.0213	-0.0166
ret_60_plus_sma_gap_60	top_17_5pct	0.4043	2	0.1751	0.0526	0.2222	0.0	-0.0271	-0.0283
ret_60_plus_sma_gap_60	top_20pct	0.4008	2	0.2028	0.0455	0.2222	0.0	-0.0271	-0.0283
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.422	2	0.1106	0.0833	0.2222	0.0	-0.0131	-0.0002
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	1	0.0092	0.0	0.0	0.0	-0.0605	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	1	0.0046	0.0	0.0	0.0	-0.0605	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4054	2	0.1521	0.0606	0.2222	0.0	-0.0213	-0.0166
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.4018	2	0.1751	0.0526	0.2222	0.0	-0.0271	-0.0283
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.3998	2	0.2028	0.0455	0.2222	0.0	-0.0271	-0.0283
