model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	31	0.6129	0.0209	-0.1254	-0.1567	4	2	0.44
ret_60	top_10pct	23	0.5652	0.023	-0.2031	-0.2572	4	3	0.4761
ret_60	top_15pct	26	0.6538	0.0327	-0.169	-0.2158	6	2	0.4745
ret_60	top_20pct	26	0.6154	0.0294	-0.1635	-0.2063	5	3	0.4726
ret_60	bullish_plus	27	0.5556	0.0188	-0.1647	-0.2176	4	4	0.44
ret_60	strong_bullish_plus	22	0.5455	0.0232	-0.206	-0.2572	4	3	0.44
sma_gap_60	threshold	31	0.6129	0.0205	-0.1254	-0.1567	4	2	0.445
sma_gap_60	top_10pct	24	0.5833	0.025	-0.2021	-0.2572	4	3	0.479
sma_gap_60	top_15pct	26	0.6154	0.0287	-0.169	-0.2158	5	3	0.4774
sma_gap_60	top_20pct	26	0.6154	0.03	-0.1635	-0.2063	5	3	0.4757
sma_gap_60	bullish_plus	28	0.5714	0.022	-0.1531	-0.2176	4	4	0.445
sma_gap_60	strong_bullish_plus	23	0.5652	0.0282	-0.2056	-0.2568	4	3	0.445
ret_60_plus_sma_gap_60	threshold	31	0.6129	0.0209	-0.1254	-0.1567	4	2	0.451
ret_60_plus_sma_gap_60	top_10pct	23	0.5652	0.0242	-0.2032	-0.2568	4	3	0.482
ret_60_plus_sma_gap_60	top_15pct	25	0.6	0.0244	-0.1691	-0.2158	4	2	0.4805
ret_60_plus_sma_gap_60	top_20pct	26	0.6538	0.0324	-0.163	-0.2158	6	2	0.4787
ret_60_plus_sma_gap_60	bullish_plus	27	0.6296	0.032	-0.1473	-0.2063	5	3	0.451
ret_60_plus_sma_gap_60	strong_bullish_plus	23	0.5652	0.0254	-0.2007	-0.2568	4	3	0.451
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	31	0.6129	0.0211	-0.1254	-0.1567	4	2	0.422
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	24	0.625	0.0307	-0.2017	-0.2555	6	2	0.4591
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	26	0.6538	0.0336	-0.1675	-0.2158	6	2	0.4573
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	26	0.6538	0.033	-0.163	-0.2158	6	2	0.4553
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	27	0.6296	0.0327	-0.1473	-0.2063	5	3	0.422
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	24	0.625	0.0308	-0.1994	-0.2555	6	2	0.422
ret_60_plus_sma_gap_60	fixed_0.47	30	0.6333	0.0216	-0.1578	-0.2179	4	3	0.47
ret_60_plus_sma_gap_60	fixed_0.49	9	0.5556	0.0291	-0.1225	-0.1383	2	3	0.49
ret_60_plus_sma_gap_60	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	295	0.5797	0.0189	-0.6095	-0.8759	22	17	0.451
ret_60_plus_sma_gap_60	cooldown_10d	163	0.5706	0.0157	-0.4485	-0.6606	12	9	0.451
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	5	0.8	0.041	-0.0304	-0.0378	4	1	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0	0.0	0.0	0.0	0.0	0	0	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
