strategy_name	rule_name	trade_count	hit_rate	avg_return
combo_threshold	threshold	105	0.5523809523809524	0.007674538423700351
combo_fixed_0_49	fixed_0.49	63	0.5555555555555556	0.010301384990121757
combo_top_12_5pct	top_12_5pct	72	0.5277777777777778	0.013171314040631009
combo_top_15pct	top_15pct	74	0.527027027027027	0.01127016104368293
combo_top_17_5pct	top_17_5pct	83	0.6024096385542169	0.02253042601663696
combo_top_20pct	top_20pct	85	0.6	0.020658212563962497
combo_neg115_top_17_5pct	top_17_5pct	83	0.5783132530120482	0.019987086504231307
combo_neg115_threshold	threshold	105	0.5238095238095238	0.006470609901459634
combo_neg115_fixed_0_47	fixed_0.47	94	0.5531914893617021	0.008635239062203124
combo_neg115_fixed_0_49	fixed_0.49	56	0.5535714285714286	0.019021985670591303
combo_neg115_top_15pct	top_15pct	76	0.5263157894736842	0.015684896288322182
combo_neg115_top_20pct	top_20pct	84	0.6071428571428571	0.02087482151419228
sma_gap_60_top15	top_15pct	80	0.5625	0.016633755633868395
