split	year_bucket	rows	positive_rate	avg_future_return	summary_type	model_name	period	predicted_positive_rate
validation	2008.0	237	0.10126582278481013	-0.08130709359574156	yearly_barrier			
validation	2009.0	241	0.5186721991701245	0.06583738947164966	yearly_barrier			
validation	2010.0	210	0.43333333333333335	0.04497209071215327	yearly_barrier			
validation	2011.0	185	0.24324324324324326	0.014095120238241022	yearly_barrier			
validation	2012.0	204	0.4362745098039216	0.025863489612540015	yearly_barrier			
validation	2013.0	224	0.29464285714285715	0.0023014529099313805	yearly_barrier			
validation	2014.0	209	0.3349282296650718	0.017141351347533237	yearly_barrier			
validation	2015.0	192	0.14583333333333334	0.01095877024596853	yearly_barrier			
validation	2016.0	147	0.22448979591836735	-0.01571118148473866	yearly_barrier			
test	2016.0	40	0.0	-0.014064395876524399	yearly_barrier			
test	2017.0	73	0.3698630136986301	0.004272072042102174	yearly_barrier			
test	2018.0	204	0.3382352941176471	0.0066900705765056	yearly_barrier			
test	2019.0	218	0.6238532110091743	0.03917230374291165	yearly_barrier			
test	2020.0	251	0.32669322709163345	-0.010722729831445581	yearly_barrier			
test	2021.0	170	0.5117647058823529	0.0573070858444599	yearly_barrier			
test	2022.0	241	0.2157676348547718	0.0015431065577683114	yearly_barrier			
test	2023.0	177	0.24858757062146894	-0.01174788567935943	yearly_barrier			
test	2024.0	200	0.51	0.02919853772770847	yearly_barrier			
test	2025.0	230	0.3	0.03287903401847862	yearly_barrier			
test	2026.0	47	0.44680851063829785	0.027164724787119177	yearly_barrier			
		689			stage_model_positive_rate	ret_60	2008_2010	0.806966618287373
		1695			stage_model_positive_rate	ret_60	2011_2019	0.9716814159292035
		839			stage_model_positive_rate	ret_60	2020_2023	0.8867699642431466
		477			stage_model_positive_rate	ret_60	2024_plus	0.9329140461215933
		689			stage_model_positive_rate	sma_gap_60	2008_2010	0.8055152394775036
		1695			stage_model_positive_rate	sma_gap_60	2011_2019	0.9716814159292035
		839			stage_model_positive_rate	sma_gap_60	2020_2023	0.8808104886769964
		477			stage_model_positive_rate	sma_gap_60	2024_plus	0.9266247379454927
