model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.451	31	0.9028	0.3854	0.9347	0.6129	0.0209	-0.1567
ret_60_plus_sma_gap_60	fixed_0.47	0.47	30	0.5213	0.4093	0.5733	0.6333	0.0216	-0.2179
ret_60_plus_sma_gap_60	fixed_0.49	0.49	9	0.0086	0.375	0.0087	0.5556	0.0291	-0.1383
ret_60_plus_sma_gap_60	top_12_5pct	0.4812	23	0.1253	0.4612	0.1553	0.5652	0.02	-0.2572
ret_60_plus_sma_gap_60	top_15pct	0.4805	25	0.1502	0.464	0.1872	0.6	0.0244	-0.2158
ret_60_plus_sma_gap_60	top_17_5pct	0.4795	26	0.175	0.4753	0.2235	0.6538	0.0345	-0.2158
ret_60_plus_sma_gap_60	top_20pct	0.4787	26	0.2004	0.4717	0.254	0.6538	0.0324	-0.2158
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.422	31	0.9319	0.3826	0.9579	0.6129	0.0211	-0.1567
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	5	0.0032	0.3333	0.0029	0.8	0.041	-0.0378
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	0	0.0	0.0	0.0	0.0	0.0	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4573	26	0.1502	0.4676	0.1887	0.6538	0.0336	-0.2158
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.4565	26	0.175	0.4753	0.2235	0.6538	0.0345	-0.2158
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4553	26	0.2004	0.4636	0.2496	0.6538	0.033	-0.2158
