model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	12	0.6667	0.0479	-0.1063	-0.1538	2	2	0.476
ret_60	top_10pct	9	0.7778	0.0738	-0.0414	-0.0584	3	1	0.4905
ret_60	top_15pct	9	0.7778	0.0742	-0.0413	-0.0584	3	1	0.4899
ret_60	top_20pct	10	0.7	0.0765	-0.0546	-0.0826	3	2	0.4894
ret_60	bullish_plus	10	0.7	0.0677	-0.0546	-0.0826	3	2	0.476
ret_60	strong_bullish_plus	8	0.75	0.0771	-0.0394	-0.0584	3	1	0.476
sma_gap_60	threshold	12	0.6667	0.0479	-0.1063	-0.1538	2	2	0.467
sma_gap_60	top_10pct	8	0.625	0.0368	-0.0566	-0.0525	3	2	0.4875
sma_gap_60	top_15pct	9	0.7778	0.077	-0.0413	-0.0584	3	1	0.4863
sma_gap_60	top_20pct	9	0.6667	0.0672	-0.0546	-0.0826	2	2	0.4855
sma_gap_60	bullish_plus	10	0.7	0.0671	-0.0546	-0.0826	3	2	0.467
sma_gap_60	strong_bullish_plus	7	0.5714	0.0239	-0.0571	-0.0584	3	2	0.467
ret_60_plus_sma_gap_60	threshold	12	0.6667	0.0479	-0.1063	-0.1538	2	2	0.471
ret_60_plus_sma_gap_60	top_10pct	8	0.75	0.0716	-0.0406	-0.0584	3	1	0.4897
ret_60_plus_sma_gap_60	top_15pct	9	0.7778	0.0858	-0.0305	-0.0499	3	1	0.4891
ret_60_plus_sma_gap_60	top_20pct	9	0.6667	0.0696	-0.0546	-0.0826	2	2	0.4883
ret_60_plus_sma_gap_60	bullish_plus	10	0.7	0.0733	-0.0546	-0.0826	3	2	0.471
ret_60_plus_sma_gap_60	strong_bullish_plus	6	0.6667	0.0688	-0.0256	-0.0358	2	1	0.471
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	12	0.6667	0.0479	-0.1063	-0.1538	2	2	0.498
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	7	0.5714	0.032	-0.0536	-0.0584	3	2	0.4992
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	9	0.7778	0.0888	-0.0385	-0.0584	3	1	0.4992
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	9	0.6667	0.0661	-0.0546	-0.0826	2	2	0.4991
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	10	0.7	0.0687	-0.0562	-0.0826	3	2	0.498
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	6	0.6667	0.044	-0.0287	-0.0358	2	1	0.498
ret_60_plus_sma_gap_60	fixed_0.47	12	0.6667	0.0479	-0.1063	-0.1538	2	2	0.47
ret_60_plus_sma_gap_60	fixed_0.49	7	0.7143	0.0579	-0.0287	-0.0358	3	1	0.49
ret_60_plus_sma_gap_60	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	114	0.6491	0.0428	-0.5952	-0.7755	25	13	0.471
ret_60_plus_sma_gap_60	cooldown_10d	62	0.629	0.0433	-0.3364	-0.5863	17	9	0.471
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	12	0.6667	0.0479	-0.1063	-0.1538	2	2	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	12	0.6667	0.0479	-0.1063	-0.1538	2	2	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
