model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	16	0.625	0.0261	-0.1585	-0.1618	4	2	0.489
ret_60	top_10pct	10	0.5	0.014	-0.0733	-0.0748	2	1	0.4968
ret_60	top_15pct	11	0.6364	0.0206	-0.0636	-0.0613	3	1	0.4961
ret_60	top_20pct	12	0.6667	0.0221	-0.0636	-0.0613	3	1	0.4955
ret_60	bullish_plus	13	0.5385	0.0166	-0.0511	-0.0551	4	3	0.489
ret_60	strong_bullish_plus	10	0.5	0.014	-0.0733	-0.0748	2	1	0.489
sma_gap_60	threshold	16	0.625	0.0261	-0.1585	-0.1618	4	2	0.496
sma_gap_60	top_10pct	11	0.6364	0.0213	-0.0708	-0.0748	3	1	0.4989
sma_gap_60	top_15pct	11	0.5455	0.0121	-0.0636	-0.0613	2	1	0.4987
sma_gap_60	top_20pct	13	0.4615	0.0121	-0.1374	-0.1305	3	2	0.4986
sma_gap_60	bullish_plus	13	0.6154	0.0166	-0.0644	-0.0633	4	1	0.496
sma_gap_60	strong_bullish_plus	10	0.6	0.0196	-0.0708	-0.0748	2	1	0.496
ret_60_plus_sma_gap_60	threshold	16	0.625	0.0261	-0.1585	-0.1618	4	2	0.416
ret_60_plus_sma_gap_60	top_10pct	10	0.6	0.0161	-0.0733	-0.0748	2	1	0.4711
ret_60_plus_sma_gap_60	top_15pct	10	0.6	0.0142	-0.0636	-0.0613	2	1	0.4658
ret_60_plus_sma_gap_60	top_20pct	12	0.5833	0.023	-0.0623	-0.0613	3	1	0.4623
ret_60_plus_sma_gap_60	bullish_plus	13	0.5385	0.0168	-0.0511	-0.0487	4	3	0.416
ret_60_plus_sma_gap_60	strong_bullish_plus	9	0.5556	0.0157	-0.0733	-0.0748	2	1	0.416
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	16	0.625	0.0261	-0.1585	-0.1618	4	2	0.429
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	10	0.6	0.0161	-0.0733	-0.0748	2	1	0.4696
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	10	0.6	0.0142	-0.0636	-0.0613	2	1	0.4661
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	12	0.6667	0.0253	-0.0623	-0.0613	3	1	0.4636
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	13	0.5385	0.0168	-0.0511	-0.0487	4	3	0.429
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	10	0.6	0.0161	-0.0733	-0.0748	2	1	0.429
ret_60_plus_sma_gap_60	fixed_0.47	10	0.6	0.0161	-0.0733	-0.0748	2	1	0.47
ret_60_plus_sma_gap_60	fixed_0.49	5	0.6	0.0251	-0.0568	-0.0508	3	2	0.49
ret_60_plus_sma_gap_60	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	153	0.6471	0.0161	-1.0239	-0.681	30	13	0.416
ret_60_plus_sma_gap_60	cooldown_10d	84	0.619	0.0199	-0.4787	-0.4781	10	8	0.416
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	10	0.6	0.0161	-0.0733	-0.0748	2	1	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	3	0.6667	0.056	0.0	0.0	2	1	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
