strategy_name	rule_name	trade_count	hit_rate	avg_return
combo_threshold	threshold	54	0.6481481481481481	0.02300152612129364
combo_fixed_0_49	fixed_0.49	48	0.6041666666666666	0.020861027106313906
combo_top_12_5pct	top_12_5pct	32	0.71875	0.03971497081180772
combo_top_15pct	top_15pct	34	0.7058823529411765	0.03809031120885865
combo_top_17_5pct	top_17_5pct	34	0.6764705882352942	0.03803459522752021
combo_top_20pct	top_20pct	38	0.7105263157894737	0.03781575485318254
combo_neg115_top_17_5pct	top_17_5pct	35	0.6571428571428571	0.03425419886166202
combo_neg115_threshold	threshold	54	0.6666666666666666	0.024605720744904778
combo_neg115_fixed_0_47	fixed_0.47	48	0.6041666666666666	0.02121246588847651
combo_neg115_fixed_0_49	fixed_0.49	37	0.5945945945945946	0.024434037389241256
combo_neg115_top_15pct	top_15pct	34	0.7058823529411765	0.03557825576191137
combo_neg115_top_20pct	top_20pct	37	0.7027027027027027	0.0388150332971073
sma_gap_60_top15	top_15pct	36	0.6666666666666666	0.03401685355467286
