model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.416	16	0.9631	0.3687	0.9646	0.625	0.0261	-0.1618
ret_60_plus_sma_gap_60	fixed_0.47	0.47	10	0.1064	0.4388	0.1268	0.6	0.0161	-0.0748
ret_60_plus_sma_gap_60	fixed_0.49	0.49	5	0.0195	0.6111	0.0324	0.6	0.0251	-0.0508
ret_60_plus_sma_gap_60	top_12_5pct	0.468	10	0.126	0.4397	0.1504	0.6	0.0142	-0.0613
ret_60_plus_sma_gap_60	top_15pct	0.4658	10	0.1509	0.4245	0.174	0.6	0.0142	-0.0613
ret_60_plus_sma_gap_60	top_17_5pct	0.4642	12	0.1759	0.4321	0.2065	0.6667	0.0238	-0.0613
ret_60_plus_sma_gap_60	top_20pct	0.4623	12	0.2009	0.4432	0.2419	0.5833	0.023	-0.0613
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.429	16	0.9663	0.3697	0.9705	0.625	0.0261	-0.1618
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	10	0.0955	0.4432	0.115	0.6	0.0161	-0.0748
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	3	0.0076	0.4286	0.0088	0.6667	0.056	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4661	10	0.1509	0.4532	0.1858	0.6	0.0142	-0.0613
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.4649	12	0.1759	0.4383	0.2094	0.6667	0.0221	-0.0613
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4636	12	0.2009	0.427	0.233	0.6667	0.0253	-0.0613
