model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	8	0.5	0.0468	-0.1381	-0.191	3	3	0.398
ret_60	top_10pct	6	0.6667	0.044	-0.1312	-0.1896	2	1	0.5017
ret_60	top_15pct	7	0.5714	0.0463	-0.126	-0.1896	2	1	0.4964
ret_60	top_20pct	7	0.5714	0.0441	-0.1273	-0.1896	2	1	0.4925
ret_60	bullish_plus	8	0.625	0.0458	-0.1343	-0.2095	3	1	0.398
ret_60	strong_bullish_plus	6	0.6667	0.044	-0.1312	-0.1896	2	1	0.398
sma_gap_60	threshold	8	0.5	0.0464	-0.1384	-0.191	3	3	0.398
sma_gap_60	top_10pct	6	0.6667	0.044	-0.1312	-0.1896	2	1	0.5006
sma_gap_60	top_15pct	6	0.6667	0.0541	-0.126	-0.1896	2	1	0.4949
sma_gap_60	top_20pct	7	0.5714	0.047	-0.129	-0.1954	2	1	0.4904
sma_gap_60	bullish_plus	8	0.625	0.0547	-0.1215	-0.1954	3	1	0.398
sma_gap_60	strong_bullish_plus	6	0.6667	0.044	-0.1312	-0.1896	2	1	0.398
ret_60_plus_sma_gap_60	threshold	8	0.5	0.0475	-0.1546	-0.2116	3	3	0.369
ret_60_plus_sma_gap_60	top_10pct	6	0.6667	0.044	-0.1312	-0.1896	2	1	0.5024
ret_60_plus_sma_gap_60	top_15pct	6	0.6667	0.0541	-0.126	-0.1896	2	1	0.4994
ret_60_plus_sma_gap_60	top_20pct	6	0.6667	0.0539	-0.1261	-0.1896	2	1	0.4963
ret_60_plus_sma_gap_60	bullish_plus	8	0.625	0.047	-0.1341	-0.2105	3	1	0.369
ret_60_plus_sma_gap_60	strong_bullish_plus	6	0.6667	0.054	-0.1261	-0.1896	2	1	0.369
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	8	0.75	0.0474	-0.1429	-0.1998	3	1	0.376
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	7	0.5714	0.0378	-0.1312	-0.1896	2	1	0.4779
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	7	0.5714	0.0341	-0.1336	-0.1896	2	1	0.4711
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	7	0.5714	0.0447	-0.1282	-0.1896	2	1	0.467
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	8	0.625	0.0603	-0.1251	-0.2095	3	1	0.376
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	7	0.5714	0.0378	-0.1312	-0.1896	2	1	0.376
ret_60_plus_sma_gap_60	fixed_0.47	8	0.625	0.0397	-0.1347	-0.178	3	1	0.47
ret_60_plus_sma_gap_60	fixed_0.49	8	0.625	0.047	-0.1341	-0.2105	3	1	0.49
ret_60_plus_sma_gap_60	fixed_0.51	3	0.6667	0.0931	-0.0151	-0.0161	1	1	0.51
ret_60_plus_sma_gap_60	cooldown_5d	80	0.6	0.0423	-0.3046	-0.8627	20	10	0.369
ret_60_plus_sma_gap_60	cooldown_10d	44	0.6364	0.0443	-0.2471	-0.6305	14	6	0.369
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	7	0.5714	0.0341	-0.1336	-0.1896	2	1	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	5	0.8	0.0926	-0.0188	-0.022	2	1	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
