strategy_name	rule_name	trade_count	hit_rate	avg_return
combo_threshold	threshold	27	0.6666666666666666	0.06817020685521981
combo_fixed_0_49	fixed_0.49	26	0.6153846153846154	0.05396792915962055
combo_top_12_5pct	top_12_5pct	16	0.5	-0.008992834571250517
combo_top_15pct	top_15pct	18	0.5555555555555556	0.025655764861595726
combo_top_17_5pct	top_17_5pct	18	0.6111111111111112	0.022097883422185646
combo_top_20pct	top_20pct	18	0.6111111111111112	0.02196731911175958
combo_neg115_top_17_5pct	top_17_5pct	18	0.6111111111111112	0.021615121800653208
combo_neg115_threshold	threshold	27	0.7037037037037037	0.04997734186221896
combo_neg115_fixed_0_47	fixed_0.47	27	0.6296296296296297	0.05980007447876604
combo_neg115_fixed_0_49	fixed_0.49	25	0.6	0.05273618231983059
combo_neg115_top_15pct	top_15pct	18	0.5555555555555556	0.01959867717954438
combo_neg115_top_20pct	top_20pct	18	0.6111111111111112	0.020420307095623688
sma_gap_60_top15	top_15pct	21	0.5238095238095238	0.0643656730971492
