model_name	rule_name	role	operator_score	selected_count	hit_rate	avg_return	cutoff
ret_60_plus_rolling_return_120	fixed_0.47	headline	7.58	8	0.625	0.0593	0.47
ret_60_plus_sma_gap_60	top_15pct	balance	7.0434	6	0.6667	0.0541	0.4994
ret_60_plus_sma_gap_60	top_17_5pct	balance	7.0434	6	0.6667	0.0541	0.4975
ret_60_plus_sma_gap_60	top_15pct	operator	7.0434	6	0.6667	0.0541	0.4994
ret_60_plus_sma_gap_60	top_17_5pct	operator	7.0434	6	0.6667	0.0541	0.4975
ret_60_plus_sma_gap_60	top_20pct	balance	7.0234000000000005	6	0.6667	0.0539	0.4963
ret_60_plus_sma_gap_60	top_20pct	operator	7.0234000000000005	6	0.6667	0.0539	0.4963
ret_60_plus_sma_gap_60	fixed_0.49	balance	6.3500000000000005	8	0.625	0.047	0.49
ret_60_plus_sma_gap_60	fixed_0.49	operator	6.3500000000000005	8	0.625	0.047	0.49
ret_60_plus_rolling_return_120	threshold	headline	6.15	8	0.5	0.0475	0.348
ret_60_plus_sma_gap_60	threshold	balance	6.15	8	0.5	0.0475	0.369
ret_60_plus_sma_gap_60	threshold	operator	6.15	8	0.5	0.0475	0.369
ret_60_plus_sma_gap_60	top_10pct	balance	6.033399999999999	6	0.6667	0.044	0.5024
ret_60_plus_sma_gap_60	top_12_5pct	balance	6.033399999999999	6	0.6667	0.044	0.5009
ret_60_plus_sma_gap_60	top_10pct	operator	6.033399999999999	6	0.6667	0.044	0.5024
ret_60_plus_sma_gap_60	top_12_5pct	operator	6.033399999999999	6	0.6667	0.044	0.5009
ret_60_plus_rolling_return_120	top_17_5pct	headline	5.9528	7	0.5714	0.0446	0.4966
ret_60_plus_rolling_return_120	fixed_0.49	headline	5.7828	7	0.5714	0.0429	0.49
ret_60_plus_sma_gap_60	fixed_0.47	balance	5.62	8	0.625	0.0397	0.47
ret_60_plus_sma_gap_60	fixed_0.47	operator	5.62	8	0.625	0.0397	0.47
ret_60_plus_rolling_return_120	top_20pct	headline	5.3728	7	0.5714	0.0388	0.4948
ret_60_plus_rolling_return_120	top_10pct	headline	2.0428	7	0.5714	0.0055	0.5029
ret_60_plus_rolling_return_120	top_12_5pct	headline	2.0428	7	0.5714	0.0055	0.5009
ret_60_plus_rolling_return_120	top_15pct	headline	1.8728000000000002	7	0.5714	0.0038	0.4993
