date	comparison_state	comparison_note	comparison_owner	divergence_case	outcome_bucket	bullish_pocket	bullish_pocket_confirmed	bullish_pocket_label	live_signal	shadow_signal	live_probability	shadow_probability	live_confidence_gap	shadow_confidence_gap	confidence_gap_delta	future_return_20d	future_return_60d	matured_20d	matured_60d	promotion_verdict
2026-03-05	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5019	0.4996	0.0469	-0.001	-0.0479	-0.07759727617636603		True	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-06	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5044	0.4995	0.0494	-0.0011	-0.0505	0.020145887708824528		True	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-09	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5173	0.5003	0.0623	-0.0003	-0.0626	-0.030155195035163618		True	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-11	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.517	0.5005	0.062	-0.0001	-0.0621	0.006735310869079969		True	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-12	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5055	0.4998	0.0505	-0.0009	-0.0514	0.03759711361761542		True	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-13	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.5092	0.5003	0.0542	-0.0003	-0.0545	0.0010090645363014517		True	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-16	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	live	shadow_blocked_live_selected	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5226	0.501	0.0676	0.0004	-0.0672	0.054006375120865036		True	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-17	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	live	shadow_blocked_live_selected	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.5206	0.501	0.0656	0.0003	-0.0653	-0.011826098521098172		True	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-18	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.5099	0.5006	0.0549	-0.0001	-0.055	-0.009745955196603484		True	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-19	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	live	shadow_blocked_live_selected	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5303	0.5007	0.0753	0.0001	-0.0752	0.02430958331109445		True	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-20	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5079	0.5	0.0529	-0.0006	-0.0535			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-23	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	strong_bullish	no_entry	0.5289	0.5006	0.0739	-0.0	-0.0739			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-24	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.4696	0.4986	0.0146	-0.0021	-0.0167			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-25	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.463	0.4983	0.008	-0.0024	-0.0104			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-26	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.4691	0.4984	0.0141	-0.0023	-0.0164			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-27	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.4691	0.4986	0.0141	-0.002	-0.0161			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-30	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.4844	0.4989	0.0294	-0.0017	-0.0311			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-03-31	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.4867	0.4992	0.0317	-0.0014	-0.0331			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-04-02	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	strong_bullish	no_entry	0.5246	0.5006	0.0696	-0.0001	-0.0697			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-04-07	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5016	0.4999	0.0466	-0.0008	-0.0474			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-04-09	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	live	shadow_blocked_live_selected	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5306	0.5011	0.0756	0.0005	-0.0751			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-04-10	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	live	shadow_blocked_live_selected	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.519	0.5006	0.064	0.0	-0.064			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-04-13	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.5187	0.5006	0.0637	-0.0	-0.0637			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-04-15	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	live	shadow_blocked_live_selected	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5351	0.5012	0.0801	0.0006	-0.0795			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
2026-04-16	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	live	shadow_blocked_live_selected	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5229	0.5008	0.0679	0.0002	-0.0677			False	False	Supports the current live line; the shadow challenger is still too restrictive here.
