date	comparison_state	comparison_note	comparison_owner	divergence_case	outcome_bucket	bullish_pocket	bullish_pocket_confirmed	bullish_pocket_label	live_signal	shadow_signal	live_probability	shadow_probability	live_confidence_gap	shadow_confidence_gap	confidence_gap_delta	future_return_20d	future_return_60d	matured_20d	matured_60d	promotion_verdict	shadow_criteria_pass_count	shadow_criteria_pass_rate
2026-03-13	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.5092	0.4	0.0542	-0.6	-0.6542	0.0010090645363014517		True	False	Supports the current live line; the shadow challenger is still too restrictive here.	2	0.4
2026-03-16	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5226	0.4	0.0676	-0.6	-0.6676	0.054006375120865036		True	False	Supports the current live line; the shadow challenger is still too restrictive here.	2	0.4
2026-03-17	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.5206	0.6	0.0656	-0.4	-0.4656	-0.011826098521098172		True	False	Supports the current live line; the shadow challenger is still too restrictive here.	3	0.6
2026-03-18	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.5099	0.6	0.0549	-0.4	-0.4549	-0.009745955196603484		True	False	Supports the current live line; the shadow challenger is still too restrictive here.	3	0.6
2026-03-19	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5303	0.6	0.0753	-0.4	-0.4753	0.02430958331109445		True	False	Supports the current live line; the shadow challenger is still too restrictive here.	3	0.6
2026-03-20	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5079	0.4	0.0529	-0.6	-0.6529			False	False	Supports the current live line; the shadow challenger is still too restrictive here.	2	0.4
2026-03-23	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	strong_bullish	no_entry	0.5289	0.4	0.0739	-0.6	-0.6739			False	False	Supports the current live line; the shadow challenger is still too restrictive here.	2	0.4
2026-03-24	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.4696	0.0	0.0146	-1.0	-1.0146			False	False	Supports the current live line; the shadow challenger is still too restrictive here.	0	0.0
2026-03-25	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.463	0.0	0.008	-1.0	-1.008			False	False	Supports the current live line; the shadow challenger is still too restrictive here.	0	0.0
2026-03-26	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.4691	0.2	0.0141	-0.8	-0.8141			False	False	Supports the current live line; the shadow challenger is still too restrictive here.	1	0.2
2026-03-27	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.4691	0.2	0.0141	-0.8	-0.8141			False	False	Supports the current live line; the shadow challenger is still too restrictive here.	1	0.2
2026-03-30	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.4844	0.6	0.0294	-0.4	-0.4294			False	False	Supports the current live line; the shadow challenger is still too restrictive here.	3	0.6
2026-03-31	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	weak_bullish	no_entry	0.4867	0.6	0.0317	-0.4	-0.4317			False	False	Supports the current live line; the shadow challenger is still too restrictive here.	3	0.6
2026-04-01	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	strong_bullish	no_entry	0.5475	0.6	0.0925	-0.4	-0.4925			False	False	Supports the current live line; the shadow challenger is still too restrictive here.	3	0.6
2026-04-02	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	strong_bullish	no_entry	0.5246	0.2	0.0696	-0.8	-0.8696			False	False	Supports the current live line; the shadow challenger is still too restrictive here.	1	0.2
2026-04-06	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	strong_bullish	no_entry	0.5283	0.4	0.0733	-0.6	-0.6733			False	False	Supports the current live line; the shadow challenger is still too restrictive here.	2	0.4
2026-04-07	selected_idle	Live selects the trade while shadow stays idle.	live	live_selected_shadow_idle	live_selected_while_shadow_not	True	True	above_200dma_and_slope_60_positive	bullish	no_entry	0.5016	0.2	0.0466	-0.8	-0.8466			False	False	Supports the current live line; the shadow challenger is still too restrictive here.	1	0.2
