date	close	future_return_20d	future_return_60d	live_signal	live_probability	live_cutoff	live_confidence_gap	shadow_signal	shadow_criteria_pass_count	shadow_criteria_pass_rate	shadow_overnight_gap	shadow_volume_vs_20	shadow_range_z_20	shadow_intraday_return	shadow_breakout_20	bullish_pocket_label
2026-03-19	444.27	0.02430958331109445		bullish	0.5303	0.455	0.0753	no_entry	3	0.6	-0.0796	1.026	1.9301	0.0454	0.0	above_200dma_and_slope_60_positive
2026-03-20	422.9			bullish	0.5079	0.455	0.0529	no_entry	2	0.4	-0.0008	0.6667	1.6093	-0.0474	0.0	above_200dma_and_slope_60_positive
2026-03-23	404.35			strong_bullish	0.5289	0.455	0.0739	no_entry	2	0.4	0.0077	0.3701	2.4309	-0.0512	0.0	above_200dma_and_slope_60_positive
2026-03-24	395.53			weak_bullish	0.4696	0.455	0.0146	no_entry	0	0.0	-0.0076	0.1083	-0.6544	-0.0143	0.0	above_200dma_and_slope_60_positive
2026-03-25	382.09			weak_bullish	0.463	0.455	0.008	no_entry	0	0.0	-0.0317	0.3179	-0.4464	-0.0024	0.0	above_200dma_and_slope_60_positive
2026-03-26	355.46			weak_bullish	0.4691	0.455	0.0141	no_entry	1	0.2	-0.0316	0.2697	0.6814	-0.0393	0.0	above_200dma_and_slope_60_positive
2026-03-27	357.22			weak_bullish	0.4691	0.455	0.0141	no_entry	1	0.2	0.0124	0.0459	-0.6804	-0.0073	0.0	above_200dma_and_slope_60_positive
2026-03-30	321.8			weak_bullish	0.4844	0.455	0.0294	no_entry	3	0.6	0.0152	0.6056	2.8948	-0.1127	0.0	above_200dma_and_slope_60_positive
2026-03-31	337.84			weak_bullish	0.4867	0.455	0.0317	no_entry	3	0.6	-0.0004	0.5416	0.6289	0.0503	0.0	above_200dma_and_slope_60_positive
2026-04-01	367.85			strong_bullish	0.5475	0.455	0.0925	no_entry	3	0.6	0.0328	0.4946	1.1285	0.0543	0.0	above_200dma_and_slope_60_positive
2026-04-02	366.24			strong_bullish	0.5246	0.455	0.0696	no_entry	1	0.2	-0.0721	0.0122	0.3309	0.0729	0.0	above_200dma_and_slope_60_positive
2026-04-06	377.76			strong_bullish	0.5283	0.455	0.0733	no_entry	2	0.4	0.0206	-0.1915	-0.8356	0.0106	0.0	above_200dma_and_slope_60_positive
2026-04-07	377.58			bullish	0.5016	0.455	0.0466	no_entry	1	0.2	-0.0096	-0.2183	-0.6985	0.0092	0.0	above_200dma_and_slope_60_positive
2026-04-08	406.73			bullish	0.5206	0.455	0.0656	no_entry	1	0.2	0.0994	-0.0577	-0.6045	-0.0202	0.0	above_200dma_and_slope_60_positive
2026-04-09	421.51			bullish	0.5306	0.455	0.0756	no_entry	1	0.2	0.0022	-0.1849	-0.0052	0.0341	0.0	above_200dma_and_slope_60_positive
2026-04-10	420.59			weak_bullish	0.519	0.455	0.064	no_entry	1	0.2	-0.0029	-0.3151	-0.9406	0.0007	0.0	above_200dma_and_slope_60_positive
2026-04-13	426.56			weak_bullish	0.5187	0.455	0.0637	no_entry	1	0.2	-0.0098	-0.3016	-0.5995	0.0242	0.0	above_200dma_and_slope_60_positive
2026-04-14	465.66			bullish	0.5508	0.455	0.0958	no_entry	4	0.8	0.0183	-0.0175	0.8603	0.0721	1.0	above_200dma_and_slope_60_positive
2026-04-15	456.23			bullish	0.5351	0.455	0.0801	no_entry	0	0.0	-0.0172	-0.2432	-0.3392	-0.0031	0.0	above_200dma_and_slope_60_positive
2026-04-16	457.23			bullish	0.5229	0.455	0.0679	no_entry	1	0.2	-0.0072	-0.3542	-0.8929	0.0094	0.0	above_200dma_and_slope_60_positive
