date	close	live_signal	live_raw_model_signal	live_buy_point_ok	buy_point_warnings	live_probability	live_cutoff	live_confidence_gap	live_rule_selected	live_rule_cutoff	rule_name	live_percentile_rank	model_rationale	rule_rationale	ret_20	ret_60	drawdown_20_x	sma_gap_20	volume_vs_20	rsi_14	sma_gap_60	shadow_signal	shadow_raw_model_signal	shadow_buy_point_ok	shadow_probability	shadow_cutoff	shadow_confidence_gap	shadow_rule_selected	shadow_rule_cutoff	shadow_percentile_rank	line_id	label_mode	execution_rule	above_200dma_flag	slope_60	drawdown_20_y	above_200dma	slope_60_positive	bullish_pocket	bullish_pocket_confirmed	bullish_pocket_label	drawdown_20	live_selected	shadow_selected	live_model_ready	shadow_model_ready	live_blocked	shadow_blocked	live_state	shadow_state	comparison_state	comparison_note	confidence_gap_delta	divergence_case	comparison_owner	shadow_criteria_pass_count	shadow_criteria_pass_rate	shadow_overnight_gap	shadow_volume_vs_20	shadow_range_z_20	shadow_intraday_return	shadow_breakout_20	shadow_overnight_gap_pass	shadow_volume_vs_20_pass	shadow_range_z_20_pass	shadow_intraday_return_pass	shadow_breakout_20_pass
2021-04-13	92.15	no_entry	weak_bullish	False	14 日 RSI 仍偏高，短線有點過熱	0.4727	0.455	0.0177	False	0.5077	top_12.5pct_reference	0.5568	近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	0.0371	0.1335	-0.036	0.0174	0.1601	65.45		no_entry	no_entry	False	0.4	1.0	-0.6	False	1.0	0.4	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.002087860776395223	-0.03598697503713733	True	True	True	True	above_200dma_and_slope_60_positive	-0.036	False	False	True	False	True	False	blocked	idle	blocked_idle	Live clears the model only while shadow stays idle.	-0.6177	live_model_ready_shadow_not_ready	shared	2	0.4	0.0073	0.1601	1.3813	-0.043	0.0	True	False	True	False	False
2021-04-14	90.67	no_entry	weak_bullish	False	14 日 RSI 仍偏高，短線有點過熱	0.466	0.455	0.011	False	0.5077	top_12.5pct_reference	0.4547	近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	-0.0083	0.1233	-0.0515	0.0014	-0.1649	68.32		no_entry	no_entry	False	0.0	1.0	-1.0	False	1.0	0.0	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.001937335504920205	-0.051469801835268926	True	True	True	True	above_200dma_and_slope_60_positive	-0.0515	False	False	True	False	True	False	blocked	idle	blocked_idle	Live clears the model only while shadow stays idle.	-1.011	live_model_ready_shadow_not_ready	shared	0	0.0	-0.0053	-0.1649	-0.3135	-0.0108	0.0	False	False	False	False	False
2021-04-15	90.27	no_entry	no_entry	False	14 日 RSI 仍偏高，短線有點過熱	0.4529	0.455	-0.0021	False	0.5077	top_12.5pct_reference	0.2609	近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	-0.0474	0.0558	-0.0557	-0.0005	-0.2869	65.27		no_entry	no_entry	False	0.2	1.0	-0.8	False	1.0	0.2	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0009048127696608195	-0.055654356089931564	True	True	True	True	above_200dma_and_slope_60_positive	-0.0557	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.7979		shared	1	0.2	0.0119	-0.2869	-0.6194	-0.0161	0.0	True	False	False	False	False
2021-04-16	90.66	no_entry	no_entry	True		0.4452	0.455	-0.0098	False	0.5077	top_12.5pct_reference	0.1674	近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	0.0094	0.0857	-0.0516	0.0033	-0.4311	57.98		no_entry	no_entry	False	0.2	1.0	-0.8	False	1.0	0.2	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0013711609008295747	-0.051574357826678414	True	True	True	True	above_200dma_and_slope_60_positive	-0.0516	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.7902		shared	1	0.2	0.0019	-0.4311	-1.4457	0.0024	0.0	False	False	False	True	False
2021-04-19	88.41	no_entry	no_entry	True		0.4452	0.455	-0.0098	False	0.5077	top_12.5pct_reference	0.1674	近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	-0.0232	0.04	-0.0751	-0.0204	-0.0085	55.18		no_entry	no_entry	False	0.2	1.0	-0.8	False	1.0	0.2	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0006536034180194772	-0.07511238571870511	True	True	True	True	above_200dma_and_slope_60_positive	-0.0751	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.7902		shared	1	0.2	0.0001	-0.0085	0.8163	-0.0249	0.0	False	False	True	False	False
2021-04-20	87.48	no_entry	no_entry	True		0.4392	0.455	-0.0158	False	0.5077	top_12.5pct_reference	0.1141	近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	-0.0416	0.0632	-0.0848	-0.0287	-0.1888	52.55		no_entry	no_entry	False	0.0	1.0	-1.0	False	1.0	0.0	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0010213697372250122	-0.08484144043995884	True	True	True	True	above_200dma_and_slope_60_positive	-0.0848	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.9842		shared	0	0.0	-0.0003	-0.1888	-0.4912	-0.0102	0.0	False	False	False	False	False
2021-04-21	89.49	no_entry	no_entry	True		0.4499	0.455	-0.0051	False	0.5077	top_12.5pct_reference	0.2265	近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	0.0479	0.101	-0.0638	-0.0086	-0.2819	53.4		no_entry	no_entry	False	0.2	1.0	-0.8	False	1.0	0.2	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0016037815751987299	-0.06381419298897006	True	True	True	True	above_200dma_and_slope_60_positive	-0.0638	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.7949		shared	1	0.2	-0.0048	-0.2819	0.2638	0.0279	0.0	False	False	False	True	False
2021-04-22	84.71	no_entry	no_entry	True		0.4482	0.455	-0.0068	False	0.5077	top_12.5pct_reference	0.203	近 20 日已有一段像樣回檔 | 量能略高於 20 日均量 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	0.0206	0.0654	-0.1138	-0.0624	0.6155	30.13		no_entry	no_entry	False	0.4	1.0	-0.6	False	1.0	0.4	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0010558470142473463	-0.11381941280716715	True	True	True	True	above_200dma_and_slope_60_positive	-0.1138	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.5932		shared	2	0.4	-0.0144	0.6155	1.6621	-0.0396	0.0	False	True	True	False	False
2021-04-23	86.03	no_entry	no_entry	True		0.4482	0.455	-0.0068	False	0.5077	top_12.5pct_reference	0.2041	近 20 日已有一段像樣回檔 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數低於 threshold，規則上偏向先不進場	0.0231	0.1457	-0.1	-0.0489	-0.1288	30.06		no_entry	no_entry	False	0.4	1.0	-0.6	False	1.0	0.4	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0022668118850298993	-0.10001043963639417	True	True	True	True	above_200dma_and_slope_60_positive	-0.1	False	False	False	False	False	False	idle	idle	idle_idle	Both live and shadow stay idle.	-0.5932		shared	2	0.4	0.0063	-0.1288	-0.8582	0.0093	0.0	True	False	False	True	False
2021-04-26	87.84	weak_bullish	weak_bullish	True		0.4551	0.455	0.0001	False	0.5077	top_12.5pct_reference	0.2856	近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	-0.0017	0.1206	-0.0811	-0.0288	-0.2744	36.49		no_entry	no_entry	False	0.4	1.0	-0.6	False	1.0	0.4	mu_gap_volume_ignition_v82	exact-event-rule	overnight_gap>=0.5%, volume_vs_20>=0.50, range_z_20>=0.50, intraday_return>=0, breakout_20==1	1.0	0.0018970095942666336	-0.08107542940586976	True	True	True	True	above_200dma_and_slope_60_positive	-0.0811	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.6001	live_selected_shadow_idle	live	2	0.4	0.0051	-0.2744	-0.5279	0.0158	0.0	True	False	False	True	False
