date	divergence_case	comparison_owner	bullish_pocket	bullish_pocket_confirmed	bullish_pocket_label	live_signal	live_raw_model_signal	live_probability	live_cutoff	live_confidence_gap	shadow_signal	shadow_raw_model_signal	shadow_probability	shadow_cutoff	shadow_confidence_gap	confidence_gap_delta	shadow_criteria_pass_count	shadow_criteria_pass_rate	shadow_overnight_gap	shadow_volume_vs_20	shadow_range_z_20	shadow_intraday_return	shadow_breakout_20	shadow_overnight_gap_pass	shadow_volume_vs_20_pass	shadow_range_z_20_pass	shadow_intraday_return_pass	shadow_breakout_20_pass
2026-03-20	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	bullish	bullish	0.5079	0.455	0.0529	no_entry	no_entry	0.4	1.0	-0.6	-0.6529	2	0.4	-0.0008	0.6667	1.6093	-0.0474	0.0	False	True	True	False	False
2026-03-23	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	strong_bullish	strong_bullish	0.5289	0.455	0.0739	no_entry	no_entry	0.4	1.0	-0.6	-0.6739	2	0.4	0.0077	0.3701	2.4309	-0.0512	0.0	True	False	True	False	False
2026-03-24	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	weak_bullish	0.4696	0.455	0.0146	no_entry	no_entry	0.0	1.0	-1.0	-1.0146	0	0.0	-0.0076	0.1083	-0.6544	-0.0143	0.0	False	False	False	False	False
2026-03-25	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	weak_bullish	0.463	0.455	0.008	no_entry	no_entry	0.0	1.0	-1.0	-1.008	0	0.0	-0.0317	0.3179	-0.4464	-0.0024	0.0	False	False	False	False	False
2026-03-26	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	weak_bullish	0.4691	0.455	0.0141	no_entry	no_entry	0.2	1.0	-0.8	-0.8141	1	0.2	-0.0316	0.2697	0.6814	-0.0393	0.0	False	False	True	False	False
2026-03-27	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	weak_bullish	0.4691	0.455	0.0141	no_entry	no_entry	0.2	1.0	-0.8	-0.8141	1	0.2	0.0124	0.0459	-0.6804	-0.0073	0.0	True	False	False	False	False
2026-03-30	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	weak_bullish	0.4844	0.455	0.0294	no_entry	no_entry	0.6	1.0	-0.4	-0.4294	3	0.6	0.0152	0.6056	2.8948	-0.1127	0.0	True	True	True	False	False
2026-03-31	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	weak_bullish	0.4867	0.455	0.0317	no_entry	no_entry	0.6	1.0	-0.4	-0.4317	3	0.6	-0.0004	0.5416	0.6289	0.0503	0.0	False	True	True	True	False
2026-04-01	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	strong_bullish	strong_bullish	0.5475	0.455	0.0925	no_entry	no_entry	0.6	1.0	-0.4	-0.4925	3	0.6	0.0328	0.4946	1.1285	0.0543	0.0	True	False	True	True	False
2026-04-02	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	strong_bullish	strong_bullish	0.5246	0.455	0.0696	no_entry	no_entry	0.2	1.0	-0.8	-0.8696	1	0.2	-0.0721	0.0122	0.3309	0.0729	0.0	False	False	False	True	False
2026-04-06	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	strong_bullish	strong_bullish	0.5283	0.455	0.0733	no_entry	no_entry	0.4	1.0	-0.6	-0.6733	2	0.4	0.0206	-0.1915	-0.8356	0.0106	0.0	True	False	False	True	False
2026-04-07	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	bullish	bullish	0.5016	0.455	0.0466	no_entry	no_entry	0.2	1.0	-0.8	-0.8466	1	0.2	-0.0096	-0.2183	-0.6985	0.0092	0.0	False	False	False	True	False
2026-04-08	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	bullish	bullish	0.5206	0.455	0.0656	no_entry	no_entry	0.2	1.0	-0.8	-0.8656	1	0.2	0.0994	-0.0577	-0.6045	-0.0202	0.0	True	False	False	False	False
2026-04-09	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	bullish	strong_bullish	0.5306	0.455	0.0756	no_entry	no_entry	0.2	1.0	-0.8	-0.8756	1	0.2	0.0022	-0.1849	-0.0052	0.0341	0.0	False	False	False	True	False
2026-04-10	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	bullish	0.519	0.455	0.064	no_entry	no_entry	0.2	1.0	-0.8	-0.864	1	0.2	-0.0029	-0.3151	-0.9406	0.0007	0.0	False	False	False	True	False
2026-04-13	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	bullish	0.5187	0.455	0.0637	no_entry	no_entry	0.2	1.0	-0.8	-0.8637	1	0.2	-0.0098	-0.3016	-0.5995	0.0242	0.0	False	False	False	True	False
2026-04-14	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	bullish	very_strong_bullish	0.5508	0.455	0.0958	no_entry	no_entry	0.8	1.0	-0.2	-0.2958	4	0.8	0.0183	-0.0175	0.8603	0.0721	1.0	True	False	True	True	True
2026-04-15	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	bullish	strong_bullish	0.5351	0.455	0.0801	no_entry	no_entry	0.0	1.0	-1.0	-1.0801	0	0.0	-0.0172	-0.2432	-0.3392	-0.0031	0.0	False	False	False	False	False
2026-04-16	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	bullish	strong_bullish	0.5229	0.455	0.0679	no_entry	no_entry	0.2	1.0	-0.8	-0.8679	1	0.2	-0.0072	-0.3542	-0.8929	0.0094	0.0	False	False	False	True	False
2026-04-17	live_model_ready_shadow_not_ready	shared	True	True	above_200dma_and_slope_60_positive	no_entry	weak_bullish	0.5176	0.5077	0.0099	no_entry	no_entry	0.2	1.0	-0.8	-0.8099	1	0.2	0.021	-0.3341	-0.7469	-0.0252	0.0	True	False	False	False	False
