date	close	live_signal	live_raw_model_signal	live_buy_point_ok	buy_point_warnings	live_probability	live_cutoff	live_confidence_gap	live_rule_selected	live_rule_cutoff	rule_name	live_percentile_rank	model_rationale	rule_rationale	ret_20	ret_60	drawdown_20_x	sma_gap_20	volume_vs_20	rsi_14	sma_gap_60	shadow_signal	shadow_raw_model_signal	shadow_buy_point_ok	shadow_probability	shadow_cutoff	shadow_confidence_gap	shadow_rule_selected	shadow_rule_cutoff	shadow_percentile_rank	line_id	label_mode	execution_rule	above_200dma_flag	slope_60	drawdown_20_y	above_200dma	slope_60_positive	bullish_pocket	bullish_pocket_confirmed	bullish_pocket_label	drawdown_20	live_selected	shadow_selected	live_model_ready	shadow_model_ready	live_blocked	shadow_blocked	live_state	shadow_state	comparison_state	comparison_note	confidence_gap_delta	divergence_case	comparison_owner
2026-01-22	397.58	bullish	strong_bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔 | 14 日 RSI 仍偏高，短線有點過熱 | 近 20 日漲幅已偏大，容易落在追價區 | 價格明顯高於 20 日均線，乖離偏大	0.5401	0.455	0.0851	True	0.5077	top_12.5pct_reference	0.9679	14 日 RSI 偏高，短線有過熱跡象 | 近 20 日幾乎沒什麼回檔，位置偏高 | 量能略高於 20 日均量 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.4374	0.8153	0.0	0.2101	0.2432	81.76		weak_bullish	bullish	False	0.5017	0.5006	0.001	True	0.5006	0.9651	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.00993721780963203	0.0	True	True	True	True	above_200dma_and_slope_60_positive	0.0	True	True	True	True	False	False	selected	selected	selected_selected	Both live and shadow would take the trade.	-0.0841		shared
2026-01-23	399.65	bullish	very_strong_bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔 | 14 日 RSI 仍偏高，短線有點過熱 | 近 20 日漲幅已偏大，容易落在追價區 | 價格明顯高於 20 日均線，乖離偏大	0.5562	0.455	0.1012	True	0.5077	top_12.5pct_reference	0.9862	14 日 RSI 偏高，短線有過熱跡象 | 近 20 日幾乎沒什麼回檔，位置偏高 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.4466	0.8158	0.0	0.1939	0.0863	78.34		weak_bullish	bullish	False	0.502	0.5006	0.0014	True	0.5006	0.9752	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.009941785542280195	0.0	True	True	True	True	above_200dma_and_slope_60_positive	0.0	True	True	True	True	False	False	selected	selected	selected_selected	Both live and shadow would take the trade.	-0.0998		shared
2026-01-26	389.09	weak_bullish	bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔 | 14 日 RSI 仍偏高，短線有點過熱 | 近 20 日漲幅已偏大，容易落在追價區 | 價格明顯高於 20 日均線，乖離偏大	0.5194	0.455	0.0644	True	0.5077	top_12.5pct_reference	0.922	14 日 RSI 偏高，短線有過熱跡象 | 近 20 日幾乎沒什麼回檔，位置偏高 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.3572	0.7534	-0.0264	0.1449	-0.1186	74.67		no_entry	no_entry	False	0.5004	0.5006	-0.0002	False	0.5006	0.8586	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.009358979319059912	-0.026423114524878374	True	True	True	True	above_200dma_and_slope_60_positive	-0.0264	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.0646	live_selected_shadow_idle	live
2026-01-27	410.24	bullish	strong_bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔 | 14 日 RSI 仍偏高，短線有點過熱 | 近 20 日漲幅已偏大，容易落在追價區 | 價格明顯高於 20 日均線，乖離偏大	0.5408	0.455	0.0858	True	0.5077	top_12.5pct_reference	0.9685	14 日 RSI 偏高，短線有過熱跡象 | 近 20 日幾乎沒什麼回檔，位置偏高 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.4405	0.8102	0.0	0.1852	0.0639	72.91		no_entry	weak_bullish	False	0.5016	0.5006	0.001	True	0.5006	0.9642	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.009890392953857392	0.0	True	True	True	True	above_200dma_and_slope_60_positive	0.0	True	False	True	True	False	True	selected	blocked	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	-0.0848	shadow_blocked_live_selected	live
2026-01-28	435.28	bullish	very_strong_bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔 | 14 日 RSI 仍偏高，短線有點過熱 | 近 20 日漲幅已偏大，容易落在追價區 | 價格明顯高於 20 日均線，乖離偏大	0.5508	0.455	0.0958	True	0.5077	top_12.5pct_reference	0.9834	14 日 RSI 偏高，短線有過熱跡象 | 近 20 日幾乎沒什麼回檔，位置偏高 | 量能略高於 20 日均量 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.4787	0.9431	0.0	0.2325	0.2263	78.67		weak_bullish	bullish	False	0.5021	0.5006	0.0014	True	0.5006	0.9761	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.011071647169658331	0.0	True	True	True	True	above_200dma_and_slope_60_positive	0.0	True	True	True	True	False	False	selected	selected	selected_selected	Both live and shadow would take the trade.	-0.0944		shared
2026-01-29	435.79	bullish	very_strong_bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔 | 14 日 RSI 仍偏高，短線有點過熱 | 近 20 日漲幅已偏大，容易落在追價區 | 價格明顯高於 20 日均線，乖離偏大	0.556	0.455	0.101	True	0.5077	top_12.5pct_reference	0.9857	14 日 RSI 偏高，短線有過熱跡象 | 近 20 日幾乎沒什麼回檔，位置偏高 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.4892	0.9475	0.0	0.2094	0.1913	85.1		weak_bullish	bullish	False	0.5021	0.5006	0.0015	True	0.5006	0.977	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.01110902896368701	0.0	True	True	True	True	above_200dma_and_slope_60_positive	0.0	True	True	True	True	False	False	selected	selected	selected_selected	Both live and shadow would take the trade.	-0.0995		shared
2026-01-30	414.88	bullish	very_strong_bullish	False	14 日 RSI 仍偏高，短線有點過熱 | 近 20 日漲幅已偏大，容易落在追價區 | 價格明顯高於 20 日均線，乖離偏大	0.5716	0.455	0.1166	True	0.5077	top_12.5pct_reference	0.9931	14 日 RSI 偏高，短線有過熱跡象 | 量能略高於 20 日均量 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.4536	0.7677	-0.048	0.1311	0.3608	72.12		weak_bullish	bullish	False	0.5023	0.5006	0.0017	True	0.5006	0.9798	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.009494687395089926	-0.047981833571464134	True	True	True	True	above_200dma_and_slope_60_positive	-0.048	True	True	True	True	False	False	selected	selected	selected_selected	Both live and shadow would take the trade.	-0.1149		shared
2026-02-02	437.8	bullish	very_strong_bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔 | 14 日 RSI 仍偏高，短線有點過熱 | 近 20 日漲幅已偏大，容易落在追價區 | 價格明顯高於 20 日均線，乖離偏大	0.5583	0.455	0.1033	True	0.5077	top_12.5pct_reference	0.9885	14 日 RSI 偏高，短線有過熱跡象 | 近 20 日幾乎沒什麼回檔，位置偏高 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.388	1.008	0.0	0.174	0.0139	75.55		weak_bullish	bullish	False	0.502	0.5006	0.0014	True	0.5006	0.9743	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.011618824913415393	0.0	True	True	True	True	above_200dma_and_slope_60_positive	0.0	True	True	True	True	False	False	selected	selected	selected_selected	Both live and shadow would take the trade.	-0.1019		shared
2026-02-03	419.44	bullish	strong_bullish	False	14 日 RSI 仍偏高，短線有點過熱 | 近 20 日漲幅已偏大，容易落在追價區 | 價格明顯高於 20 日均線，乖離偏大	0.5419	0.455	0.0869	True	0.5077	top_12.5pct_reference	0.9696	14 日 RSI 偏高，短線有過熱跡象 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.3437	0.7661	-0.0419	0.1088	0.1355	71.34		no_entry	weak_bullish	False	0.5012	0.5006	0.0006	True	0.5006	0.9458	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.009479214510170234	-0.04193692522496084	True	True	True	True	above_200dma_and_slope_60_positive	-0.0419	True	False	True	True	False	True	selected	blocked	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	-0.0863	shadow_blocked_live_selected	live
2026-02-04	379.4	bullish	strong_bullish	False	14 日 RSI 仍偏高，短線有點過熱 | 近 20 日漲幅已偏大，容易落在追價區	0.5416	0.455	0.0866	True	0.5077	top_12.5pct_reference	0.9696	近 20 日已有一段像樣回檔 | 量能略高於 20 日均量 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.1047	0.5919	-0.1334	-0.0018	0.5232	60.2		no_entry	weak_bullish	False	0.5009	0.5006	0.0003	True	0.5006	0.9229	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.007748912763611138	-0.13339423372506157	True	True	True	True	above_200dma_and_slope_60_positive	-0.1334	True	False	True	True	False	True	selected	blocked	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	-0.0863	shadow_blocked_live_selected	live
