date	divergence_case	comparison_owner	bullish_pocket	bullish_pocket_confirmed	bullish_pocket_label	live_signal	live_raw_model_signal	live_probability	live_cutoff	live_confidence_gap	shadow_signal	shadow_raw_model_signal	shadow_probability	shadow_cutoff	shadow_confidence_gap	confidence_gap_delta
2026-03-12	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	bullish	bullish	0.5055	0.455	0.0505	no_entry	no_entry	0.4998	0.5006	-0.0008	-0.0513
2026-03-13	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	bullish	0.5092	0.455	0.0542	no_entry	no_entry	0.5003	0.5006	-0.0003	-0.0545
2026-03-16	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	bullish	strong_bullish	0.5226	0.455	0.0676	no_entry	weak_bullish	0.501	0.5006	0.0005	-0.0671
2026-03-17	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	bullish	0.5206	0.455	0.0656	no_entry	weak_bullish	0.501	0.5006	0.0004	-0.0652
2026-03-18	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	bullish	0.5099	0.455	0.0549	no_entry	weak_bullish	0.5006	0.5006	0.0	-0.0549
2026-03-19	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	bullish	strong_bullish	0.5303	0.455	0.0753	no_entry	weak_bullish	0.5007	0.5006	0.0001	-0.0752
2026-03-20	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	bullish	bullish	0.5079	0.455	0.0529	no_entry	no_entry	0.5	0.5006	-0.0005	-0.0534
2026-03-24	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	weak_bullish	0.4696	0.455	0.0146	no_entry	no_entry	0.4986	0.5006	-0.002	-0.0166
2026-03-25	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	weak_bullish	0.463	0.455	0.008	no_entry	no_entry	0.4983	0.5006	-0.0023	-0.0103
2026-03-26	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	weak_bullish	0.4691	0.455	0.0141	no_entry	no_entry	0.4984	0.5006	-0.0022	-0.0163
2026-03-27	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	weak_bullish	0.4691	0.455	0.0141	no_entry	no_entry	0.4986	0.5006	-0.0019	-0.016
2026-03-30	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	weak_bullish	0.4844	0.455	0.0294	no_entry	no_entry	0.4989	0.5006	-0.0016	-0.031
2026-03-31	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	weak_bullish	0.4867	0.455	0.0317	no_entry	no_entry	0.4992	0.5006	-0.0013	-0.033
2026-04-02	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	strong_bullish	strong_bullish	0.5246	0.455	0.0696	no_entry	no_entry	0.5006	0.5006	-0.0	-0.0696
2026-04-07	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	bullish	bullish	0.5016	0.455	0.0466	no_entry	no_entry	0.4999	0.5006	-0.0007	-0.0473
2026-04-09	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	bullish	strong_bullish	0.5306	0.455	0.0756	no_entry	weak_bullish	0.5011	0.5006	0.0006	-0.075
2026-04-10	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	bullish	0.519	0.455	0.064	no_entry	weak_bullish	0.5006	0.5006	0.0001	-0.0639
2026-04-13	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	weak_bullish	bullish	0.5187	0.455	0.0637	no_entry	weak_bullish	0.5006	0.5006	0.0001	-0.0636
2026-04-15	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	bullish	strong_bullish	0.5351	0.455	0.0801	no_entry	weak_bullish	0.5012	0.5006	0.0007	-0.0794
2026-04-16	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	bullish	strong_bullish	0.5229	0.455	0.0679	no_entry	weak_bullish	0.5008	0.5006	0.0003	-0.0676
