date	promotion_bucket	comparison_owner	bullish_pocket	bullish_pocket_confirmed	bullish_pocket_label	above_200dma_flag	slope_60	drawdown_20	live_probability	shadow_probability	confidence_gap_delta	future_return_20d	future_return_60d
2021-04-26	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0018970095942666336	-0.0811	0.4551	0.4981	-0.0026	-0.0562385589476716	-0.12124310496914714
2021-04-27	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0022271207140529105	-0.0641	0.462	0.4985	-0.0092	-0.09199637616548473	-0.15571205508310337
2021-04-29	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.001265733482912538	-0.0788	0.4566	0.4983	-0.0039	-0.046899811127861235	-0.13354525133856632
2021-04-30	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0014053603061196926	-0.0996	0.4618	0.4982	-0.0092	-0.022423612315776942	-0.1376786164300834
2021-05-14	live_selected_shadow_idle	live	True	False	above_200dma	1.0	-0.0017530815023109418	-0.1094	0.4582	0.4984	-0.0054	0.0099121825066113	-0.04755324255023574
2021-05-19	live_selected_shadow_idle	live	True	False	above_200dma	1.0	-0.001646597063759625	-0.1065	0.4558	0.4983	-0.0031	0.008882760937843681	-0.1127236594749148
2021-05-24	live_selected_shadow_idle	live	True	False	above_200dma	1.0	-0.0016505282252088952	-0.0733	0.4566	0.4984	-0.0038	-0.0632086582306487	-0.14813025999117047
2021-07-07	live_selected_shadow_idle	live	True	False	above_200dma	1.0	-0.0033423798138614885	-0.0795	0.4587	0.4983	-0.0061	0.04806957399069023	-0.09255941895655795
2021-07-12	live_selected_shadow_idle	live	True	False	above_200dma	1.0	-0.002104895313715775	-0.0638	0.4561	0.4982	-0.0035	0.008169954070199603	-0.11387629256676779
2021-07-14	live_selected_shadow_idle	live	True	False	above_200dma	1.0	-0.0019835654319579157	-0.0764	0.4562	0.4982	-0.0036	-0.04408203820412859	-0.10128675200170767
2021-08-16	live_selected_shadow_idle	live	False	False	outside_bullish_pocket	0.0	-0.0022393215506066435	-0.135	0.4575	0.4982	-0.0049	0.03609188703763411	0.0656985198458373
2021-08-25	live_selected_shadow_idle	live	False	False	outside_bullish_pocket	0.0	-0.002133257311650934	-0.0971	0.4827	0.4994	-0.029	0.0	0.0402484561141343
2021-11-19	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0021983039557287904	0.0	0.5096	0.5012	-0.0541	-0.012043839753124841	0.15693121728126336
2021-11-22	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0020847275969444468	0.0	0.5283	0.5015	-0.0725	0.08132601532538475	0.11769619216248484
2021-11-23	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.00258023932093406	0.0	0.5191	0.5012	-0.0636	0.05772149004096527	0.06310735462524764
2021-11-24	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0026130568635774824	0.0	0.5063	0.5005	-0.0515	0.09523256201903108	0.05057418694645177
2021-11-26	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0020602319576451017	-0.0324	0.5021	0.4999	-0.0478	0.1319827664576616	0.04663149694357771
2021-11-30	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0021553768023042726	-0.0256	0.4964	0.4999	-0.0422	0.14488093058268237	0.07261902945382248
2021-12-01	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.002420434615867147	-0.0123	0.5101	0.5006	-0.0552	0.10264236884497602	0.04357015875501902
2021-12-17	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0019039184620999036	-0.0372	0.4649	0.4988	-0.0118	0.11891569574195215	-0.04012050398861067
2021-12-20	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0017057406201257989	-0.0485	0.4586	0.4984	-0.0059	0.09715959209199254	-0.018407925864940666
2021-12-21	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.003124193113490703	0.0	0.5094	0.5016	-0.0535	-0.06186590859584895	-0.12428315621016983
2021-12-22	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.00352919906346029	-0.0037	0.5098	0.5006	-0.0549	-0.09309272054051987	-0.1327208141444285
2021-12-23	both_selected	shared	True	True	above_200dma_and_slope_60_positive	1.0	0.004601655450877932	0.0	0.533	0.5019	-0.0767	-0.12147851560195855	-0.16204189492767263
2021-12-27	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.00475767713323864	0.0	0.5261	0.5013	-0.0705	-0.14518690077480811	-0.19887746180879262
2021-12-28	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.004490252632769283	-0.0158	0.5155	0.5006	-0.0605	-0.11803314969374068	-0.15848937992249446
2021-12-29	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.005146733504866171	0.0	0.5105	0.5009	-0.0552	-0.18144948820303752	-0.18789643380339882
2021-12-30	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.004775186132525396	-0.0237	0.5085	0.5004	-0.0538	-0.15571416382599224	-0.1494301722281587
2021-12-31	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0047762224481015785	-0.0314	0.4955	0.4999	-0.0413	-0.11680090933535647	-0.11916262256890353
2022-01-03	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.005092678171233504	-0.0044	0.5042	0.5003	-0.0495	-0.14934729035778394	-0.1732636693252284
2022-01-04	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.005294591066115961	0.0	0.509	0.5006	-0.054	-0.12279421477419561	-0.19150921371776908
2022-01-05	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.005170853891218445	-0.0201	0.4991	0.5001	-0.0447	-0.1316737299179832	-0.1930084843876647
2022-01-20	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.003547537196964523	-0.1262	0.4573	0.4982	-0.0048	0.10179856228019069	-0.16362993086729993
2022-01-26	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0028466438810928513	-0.1581	0.466	0.4987	-0.013	0.08368916076847555	-0.1532267582231227
2022-01-31	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0023968610204702905	-0.155	0.4678	0.4988	-0.0146	0.04849891401448514	-0.19205051740688117
2022-02-02	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0024584495189038454	-0.132	0.4704	0.4991	-0.017	0.055259709512458066	-0.1931132325439575
2022-02-03	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.001579153398730974	-0.1581	0.4835	0.4992	-0.0299	-0.0007319453178024071	-0.1387093153258404
2022-02-04	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0011870291226289945	-0.1663	0.4649	0.4986	-0.0119	-0.06738944615124909	-0.12208939578991262
2022-02-07	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0016130457510378005	-0.1694	0.4557	0.4983	-0.003	-0.04587608456127401	-0.08965005260008374
2022-02-08	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0020129050223132456	-0.136	0.4793	0.4994	-0.0256	-0.05563480922931785	-0.1525202260121894
2022-02-09	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0021834259671670076	-0.0949	0.5037	0.5004	-0.0489	-0.14071721674293602	-0.2016568737924852
2022-02-10	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.002835584200554682	-0.0651	0.5253	0.5013	-0.0696	-0.1999560274607921	-0.25368047890001255
2022-02-11	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0025967442891359958	-0.0781	0.518	0.5009	-0.0628	-0.22682709587563066	-0.23228607372888266
2022-02-14	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0029108368005119623	-0.0324	0.4969	0.5002	-0.0423	-0.18640106706242843	-0.2548408788152279
2022-02-15	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0036713851111048967	0.0	0.5214	0.5014	-0.0657	-0.17010418574015296	-0.29468750953674316
2022-02-16	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0024295166208210114	0.0	0.5114	0.5008	-0.0563	-0.1617739049602661	-0.2513012700726309
2022-02-17	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0018544932592081528	-0.0243	0.5031	0.5001	-0.0486	-0.15277925084769461	-0.24815962128640878
2022-02-18	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0010199347730339703	-0.0548	0.5046	0.5001	-0.0501	-0.13711458325105963	-0.17973567341756025
2022-02-22	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.000822280990254276	-0.0572	0.5218	0.5007	-0.0668	-0.12642151912137545	-0.21552386782421407
2022-03-01	live_selected_shadow_idle	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0006662045102134121	-0.102	0.4854	0.4993	-0.0317	-0.04880592372144632	-0.21319266095779943
2022-03-02	shadow_blocked_live_selected	live	True	True	above_200dma_and_slope_60_positive	1.0	0.0022290962822313206	-0.0287	0.5177	0.5009	-0.0625	-0.15155411497472648	-0.24330122009796695
