variant	monitoring_scope	tolerance	fold	test_start	test_end	selected_rows	episode_count	episode_hit_rate	episode_avg_return	episode_max_drawdown_compound
live	reference_only		fold_1	2003-02-18	2013-09-06	75	4	0.75	0.1671	0.0
shadow_base	challenger_reference	0.0	fold_1	2003-02-18	2013-09-06	75	4	0.75	0.1671	0.0
live	reference_only		fold_2	2013-09-09	2026-01-15	73	8	0.75	0.3039	-0.2537
shadow_base	challenger_reference	0.0	fold_2	2013-09-09	2026-01-15	73	8	0.75	0.3039	-0.2537
shadow_tol_0_001	side_probe_only	0.001	fold_1	2003-02-18	2013-09-06	75	4	0.75	0.1671	0.0
shadow_tol_0_001	side_probe_only	0.001	fold_2	2013-09-09	2026-01-15	79	8	0.75	0.3039	-0.2537
shadow_tol_0_0025	side_probe_only	0.0025	fold_1	2003-02-18	2013-09-06	75	4	0.75	0.1671	0.0
shadow_tol_0_0025	side_probe_only	0.0025	fold_2	2013-09-09	2026-01-15	86	8	0.75	0.3339	-0.2537
shadow_tol_0_005	side_probe_only	0.005	fold_1	2003-02-18	2013-09-06	76	4	0.75	0.1671	0.0
shadow_tol_0_005	side_probe_only	0.005	fold_2	2013-09-09	2026-01-15	106	9	0.5556	0.1167	-0.5695
