model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	0	0.0	0.0	0.0	0.0	0	0	0.502
ret_60	top_10pct	2	0.0	-0.0313	-0.025	-0.024	0	2	0.4988
ret_60	top_15pct	2	0.0	-0.0333	-0.0251	-0.024	0	2	0.4984
ret_60	top_20pct	2	0.0	-0.0337	-0.0261	-0.025	0	2	0.4982
ret_60	bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.502
ret_60	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.502
sma_gap_60	threshold	0	0.0	0.0	0.0	0.0	0	0	0.502
sma_gap_60	top_10pct	2	0.0	-0.0313	-0.025	-0.024	0	2	0.4987
sma_gap_60	top_15pct	2	0.0	-0.0333	-0.0251	-0.024	0	2	0.4985
sma_gap_60	top_20pct	2	0.0	-0.0333	-0.0251	-0.024	0	2	0.4982
sma_gap_60	bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.502
sma_gap_60	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.502
ret_60_plus_sma_gap_60	threshold	0	0.0	0.0	0.0	0.0	0	0	0.503
ret_60_plus_sma_gap_60	top_10pct	2	0.0	-0.0313	-0.025	-0.024	0	2	0.4988
ret_60_plus_sma_gap_60	top_15pct	2	0.0	-0.0333	-0.0251	-0.024	0	2	0.4985
ret_60_plus_sma_gap_60	top_20pct	2	0.0	-0.0333	-0.0251	-0.024	0	2	0.4983
ret_60_plus_sma_gap_60	bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.503
ret_60_plus_sma_gap_60	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.503
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0	0.0	0.0	0.0	0.0	0	0	0.503
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	2	0.0	-0.0313	-0.025	-0.024	0	2	0.4985
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	2	0.0	-0.0333	-0.0251	-0.024	0	2	0.4982
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	2	0.0	-0.0333	-0.0251	-0.024	0	2	0.498
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.503
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.503
ret_60_plus_sma_gap_60	fixed_0.47	2	0.0	-0.0453	-0.0356	-0.0335	0	2	0.47
ret_60_plus_sma_gap_60	fixed_0.49	2	0.0	-0.0453	-0.0356	-0.0335	0	2	0.49
ret_60_plus_sma_gap_60	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	0	0.0	0.0	0.0	0.0	0	0	0.503
ret_60_plus_sma_gap_60	cooldown_10d	0	0.0	0.0	0.0	0.0	0	0	0.503
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	2	0.0	-0.0453	-0.0356	-0.0335	0	2	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	2	0.0	-0.0453	-0.0356	-0.0335	0	2	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
