model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	17	0.7059	0.1754	-0.3213	-0.2971	7	2	0.495
ret_60	top_10pct	11	0.8182	0.2085	-0.0277	-0.0938	9	1	0.4993
ret_60	top_15pct	11	0.8182	0.2213	-0.0203	-0.0711	9	1	0.4992
ret_60	top_20pct	12	0.8333	0.1872	-0.0117	-0.0336	7	1	0.4991
ret_60	bullish_plus	14	0.5714	0.1761	-0.0611	-0.187	3	2	0.495
ret_60	strong_bullish_plus	10	0.8	0.1799	-0.0324	-0.0938	8	1	0.495
sma_gap_60	threshold	17	0.7059	0.1754	-0.3213	-0.2971	7	2	0.495
sma_gap_60	top_10pct	11	0.7273	0.1805	-0.0473	-0.1197	5	1	0.4994
sma_gap_60	top_15pct	11	0.8182	0.218	-0.0325	-0.1142	9	1	0.4993
sma_gap_60	top_20pct	11	0.8182	0.2252	-0.02	-0.0711	9	1	0.4992
sma_gap_60	bullish_plus	14	0.5714	0.1659	-0.0409	-0.1214	3	2	0.495
sma_gap_60	strong_bullish_plus	11	0.7273	0.1778	-0.0591	-0.1495	5	1	0.495
ret_60_plus_sma_gap_60	threshold	17	0.7059	0.1754	-0.3213	-0.2971	7	2	0.495
ret_60_plus_sma_gap_60	top_10pct	10	0.8	0.2119	-0.0473	-0.1197	5	1	0.4995
ret_60_plus_sma_gap_60	top_15pct	11	0.8182	0.2058	-0.0279	-0.0938	9	1	0.4993
ret_60_plus_sma_gap_60	top_20pct	11	0.8182	0.2229	-0.0202	-0.0711	9	1	0.4992
ret_60_plus_sma_gap_60	bullish_plus	13	0.6923	0.1921	-0.0479	-0.1495	3	1	0.495
ret_60_plus_sma_gap_60	strong_bullish_plus	10	0.8	0.2119	-0.0473	-0.1197	5	1	0.495
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	17	0.7059	0.1754	-0.3213	-0.2971	7	2	0.498
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	10	0.8	0.2119	-0.0473	-0.1197	5	1	0.4996
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	11	0.8182	0.2066	-0.0279	-0.0938	9	1	0.4996
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	11	0.8182	0.2229	-0.0202	-0.0711	9	1	0.4995
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	13	0.6923	0.1921	-0.0479	-0.1495	3	1	0.498
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	10	0.8	0.2119	-0.0473	-0.1197	5	1	0.498
ret_60_plus_sma_gap_60	fixed_0.47	17	0.7059	0.1754	-0.3213	-0.2971	7	2	0.47
ret_60_plus_sma_gap_60	fixed_0.49	17	0.7059	0.1754	-0.3213	-0.2971	7	2	0.49
ret_60_plus_sma_gap_60	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	164	0.7012	0.181	-2.2059	-0.9275	36	14	0.495
ret_60_plus_sma_gap_60	cooldown_10d	90	0.6889	0.1796	-1.1161	-0.7113	20	7	0.495
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	17	0.7059	0.1754	-0.3213	-0.2971	7	2	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	17	0.7059	0.1754	-0.3213	-0.2971	7	2	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
