strategy_name	rule_name	trade_count	hit_rate	avg_return
combo_threshold	threshold	57	0.7368421052631579	0.14324694510959884
combo_fixed_0_49	fixed_0.49	56	0.7321428571428571	0.1394615032156625
combo_top_12_5pct	top_12_5pct	37	0.8378378378378378	0.14878920751168173
combo_top_15pct	top_15pct	39	0.8461538461538461	0.15254544868927866
combo_top_17_5pct	top_17_5pct	40	0.875	0.15571136952211634
combo_top_20pct	top_20pct	42	0.7857142857142857	0.1604752369938267
combo_neg115_top_17_5pct	top_17_5pct	40	0.875	0.15498038760454658
combo_neg115_threshold	threshold	57	0.7368421052631579	0.14324694510959884
combo_neg115_fixed_0_47	fixed_0.47	57	0.7368421052631579	0.14324694510959884
combo_neg115_fixed_0_49	fixed_0.49	56	0.7321428571428571	0.13997327770453583
combo_neg115_top_15pct	top_15pct	39	0.8461538461538461	0.15829639743446833
combo_neg115_top_20pct	top_20pct	42	0.7857142857142857	0.1604752369938267
sma_gap_60_top15	top_15pct	40	0.85	0.14532701130616538
