model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.495	17	0.999	0.4116	0.9975	0.7059	0.1754	-0.2971
ret_60_plus_sma_gap_60	fixed_0.47	0.47	17	1.0	0.4122	1.0	0.7059	0.1754	-0.2971
ret_60_plus_sma_gap_60	fixed_0.49	0.49	17	1.0	0.4122	1.0	0.7059	0.1754	-0.2971
ret_60_plus_sma_gap_60	top_12_5pct	0.4994	11	0.1255	0.4715	0.1436	0.8182	0.2083	-0.0938
ret_60_plus_sma_gap_60	top_15pct	0.4993	11	0.15	0.4626	0.1683	0.8182	0.2058	-0.0938
ret_60_plus_sma_gap_60	top_17_5pct	0.4993	11	0.1755	0.4419	0.1881	0.8182	0.2064	-0.0938
ret_60_plus_sma_gap_60	top_20pct	0.4992	11	0.2	0.4439	0.2153	0.8182	0.2229	-0.0711
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.498	17	0.999	0.4116	0.9975	0.7059	0.1754	-0.2971
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	17	1.0	0.4122	1.0	0.7059	0.1754	-0.2971
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	17	1.0	0.4122	1.0	0.7059	0.1754	-0.2971
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4996	11	0.15	0.4626	0.1683	0.8182	0.2066	-0.0938
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.4996	11	0.1755	0.4477	0.1906	0.8182	0.2064	-0.0938
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4995	11	0.2	0.4439	0.2153	0.8182	0.2229	-0.0711
