model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	30	0.5333	0.0102	-0.2205	-0.2868	3	4	0.428
ret_60	top_10pct	20	0.65	0.0246	-0.1465	-0.2216	7	3	0.4833
ret_60	top_15pct	22	0.6818	0.0236	-0.1524	-0.2216	8	3	0.4796
ret_60	top_20pct	24	0.7083	0.0166	-0.1644	-0.2247	9	3	0.4758
ret_60	bullish_plus	26	0.6538	0.0169	-0.1772	-0.2438	8	3	0.428
ret_60	strong_bullish_plus	20	0.65	0.0246	-0.1465	-0.2216	7	3	0.428
sma_gap_60	threshold	30	0.5667	0.0097	-0.2224	-0.2826	5	4	0.415
sma_gap_60	top_10pct	20	0.65	0.0213	-0.1549	-0.2252	7	3	0.4754
sma_gap_60	top_15pct	24	0.6667	0.0183	-0.1426	-0.2105	9	3	0.4713
sma_gap_60	top_20pct	25	0.68	0.0246	-0.1552	-0.2403	8	3	0.4677
sma_gap_60	bullish_plus	26	0.5769	0.015	-0.1998	-0.2656	8	4	0.415
sma_gap_60	strong_bullish_plus	21	0.6667	0.0217	-0.1498	-0.2216	7	3	0.415
ret_60_plus_sma_gap_60	threshold	30	0.5333	0.0102	-0.2205	-0.2868	3	4	0.426
ret_60_plus_sma_gap_60	top_10pct	20	0.65	0.0246	-0.1465	-0.2216	7	3	0.4815
ret_60_plus_sma_gap_60	top_15pct	21	0.6667	0.0208	-0.1652	-0.2216	7	3	0.4775
ret_60_plus_sma_gap_60	top_20pct	24	0.7083	0.018	-0.1535	-0.2105	9	3	0.4739
ret_60_plus_sma_gap_60	bullish_plus	26	0.6538	0.0169	-0.1772	-0.2438	8	3	0.426
ret_60_plus_sma_gap_60	strong_bullish_plus	20	0.65	0.0246	-0.1465	-0.2216	7	3	0.426
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	30	0.5333	0.0102	-0.2205	-0.2868	3	4	0.413
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	20	0.65	0.0246	-0.1465	-0.2216	7	3	0.4676
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	22	0.6818	0.0254	-0.1524	-0.2216	8	3	0.4637
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	24	0.7083	0.0177	-0.1542	-0.2105	9	3	0.4601
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	26	0.6538	0.0169	-0.1772	-0.2438	8	3	0.413
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	20	0.65	0.0246	-0.1465	-0.2216	7	3	0.413
ret_60_plus_sma_gap_60	fixed_0.47	26	0.6538	0.0213	-0.1638	-0.2411	8	3	0.47
ret_60_plus_sma_gap_60	fixed_0.49	14	0.6429	0.0244	-0.1251	-0.1738	5	2	0.49
ret_60_plus_sma_gap_60	fixed_0.51	2	1.0	0.1424	0.0	0.0	2	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	285	0.593	0.0144	-0.5042	-0.967	27	17	0.426
ret_60_plus_sma_gap_60	cooldown_10d	159	0.5849	0.0132	-0.4552	-0.8531	17	16	0.426
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	19	0.6316	0.0238	-0.1137	-0.1663	6	3	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	6	1.0	0.1301	0.0	0.0	6	0	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	1	1.0	0.1463	0.0	0.0	1	0	0.51
