strategy_name	rule_name	trade_count	hit_rate	avg_return
combo_threshold	threshold	99	0.5757575757575758	0.014117962838862772
combo_fixed_0_49	fixed_0.49	8	0.875	0.1060219686188651
combo_top_12_5pct	top_12_5pct	74	0.6486486486486487	0.026122938677418186
combo_top_15pct	top_15pct	77	0.5974025974025974	0.017936472249609838
combo_top_17_5pct	top_17_5pct	79	0.620253164556962	0.01952855231668375
combo_top_20pct	top_20pct	82	0.6341463414634146	0.017636892590482182
combo_neg115_top_17_5pct	top_17_5pct	81	0.654320987654321	0.024141605665229552
combo_neg115_threshold	threshold	99	0.5757575757575758	0.014117962838862772
combo_neg115_fixed_0_47	fixed_0.47	39	0.5384615384615384	0.0283911144595318
combo_neg115_fixed_0_49	fixed_0.49	33	0.48484848484848486	0.013570824078325463
combo_neg115_top_15pct	top_15pct	75	0.64	0.021448891293863914
combo_neg115_top_20pct	top_20pct	82	0.6463414634146342	0.021487975680547573
sma_gap_60_top15	top_15pct	79	0.6582278481012658	0.022699789475522838
