model_name	rule_name	role	operator_score	selected_count	hit_rate	avg_return	cutoff
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	operator	15.31	6	1.0	0.1301	0.49
above_200dma_flag	fixed_0.49	headline	5.4399999999999995	10	0.7	0.0354	0.49
above_200dma_flag	top_15pct	headline	5.3184000000000005	19	0.6842	0.03	0.4655
above_200dma_flag	top_10pct	headline	5.0134	18	0.6667	0.0278	0.4718
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	operator	5.0036000000000005	22	0.6818	0.0254	0.4637
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	operator	4.881399999999999	23	0.6957	0.0234	0.4616
above_200dma_flag	fixed_0.47	headline	4.843400000000001	18	0.6667	0.0261	0.47
above_200dma_flag	top_12_5pct	headline	4.8334	18	0.6667	0.026	0.4691
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	operator	4.76	20	0.65	0.0246	0.4676
above_200dma_flag	top_17_5pct	headline	4.699999999999999	20	0.7	0.023	0.4631
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	operator	4.5932	19	0.6316	0.0238	0.47
above_200dma_flag	top_20pct	headline	4.5886	21	0.7143	0.0211	0.4601
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	operator	4.3866000000000005	24	0.7083	0.0177	0.4601
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_12_5pct	operator	4.118	21	0.619	0.0183	0.4654
above_200dma_flag	threshold	headline	3.9334	29	0.5517	0.0138	0.415
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	operator	3.5866	30	0.5333	0.0102	0.413
