model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.426	30	0.9008	0.3663	0.951	0.5333	0.0102	-0.2868
ret_60_plus_sma_gap_60	fixed_0.47	0.47	26	0.2483	0.4658	0.3333	0.6538	0.0213	-0.2411
ret_60_plus_sma_gap_60	fixed_0.49	0.49	14	0.0493	0.5287	0.0752	0.6429	0.0244	-0.1738
ret_60_plus_sma_gap_60	top_12_5pct	0.4793	21	0.1253	0.4661	0.1683	0.619	0.0194	-0.2216
ret_60_plus_sma_gap_60	top_15pct	0.4775	21	0.1502	0.4755	0.2059	0.6667	0.0208	-0.2216
ret_60_plus_sma_gap_60	top_17_5pct	0.4755	23	0.1752	0.4725	0.2386	0.6522	0.0247	-0.2105
ret_60_plus_sma_gap_60	top_20pct	0.4739	24	0.2001	0.4703	0.2712	0.7083	0.018	-0.2105
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.413	30	0.9014	0.3667	0.9526	0.5333	0.0102	-0.2868
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	19	0.0788	0.4892	0.1111	0.6316	0.0238	-0.1663
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	6	0.0062	0.7273	0.0131	1.0	0.1301	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4637	22	0.1502	0.4792	0.2075	0.6818	0.0254	-0.2216
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.4616	23	0.1752	0.4693	0.2369	0.6957	0.0234	-0.2105
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4601	24	0.2001	0.4674	0.2696	0.7083	0.0177	-0.2105
