model_name	bucket_pct	date	predicted_return	future_return_60	selected	cutoff
distance_bottom3	3.0	2026-02-27	0.04486	-0.073622	False	-0.034378
distance_bottom3	3.0	2026-03-02	0.037911	-0.074841	False	-0.034378
distance_bottom3	3.0	2026-03-03	0.043407	-0.064829	False	-0.034378
distance_bottom3	3.0	2026-03-04	0.027587	-0.07887	False	-0.034378
distance_bottom3	3.0	2026-03-05	0.025756	-0.076087	False	-0.034378
distance_bottom3	3.0	2026-03-06	0.032998	-0.061976	False	-0.034378
distance_bottom3	3.0	2026-03-09	0.020269	-0.074339	False	-0.034378
distance_bottom3	3.0	2026-03-10	0.025919	-0.074354	False	-0.034378
distance_bottom3	3.0	2026-03-11	0.026627	-0.074232	False	-0.034378
distance_bottom3	3.0	2026-03-12	0.035281	-0.058065	False	-0.034378
distance_bottom3	3.0	2026-03-13	0.023217	-0.052449	False	-0.034378
distance_bottom3	3.0	2026-03-16	0.02378	-0.06296	False	-0.034378
distance_bottom3	3.0	2026-03-17	0.029871	-0.067511	False	-0.034378
distance_bottom3	3.0	2026-03-18	0.029656	-0.054328	False	-0.034378
distance_bottom3	3.0	2026-03-19	0.03637	-0.05133	False	-0.034378
distance_bottom3	3.0	2026-03-20	0.035308	-0.033467	False	-0.034378
distance_bottom3	3.0	2026-03-23	0.028318	-0.043231	False	-0.034378
distance_bottom3	3.0	2026-03-24	0.038846	-0.036645	False	-0.034378
distance_bottom3	3.0	2026-03-25	0.035474	-0.042938	False	-0.034378
distance_bottom3	3.0	2026-03-26	0.035252	-0.019537	False	-0.034378
distance_bottom5	5.0	2026-02-27	0.04486	-0.073622	False	-0.019215
distance_bottom5	5.0	2026-03-02	0.037911	-0.074841	False	-0.019215
distance_bottom5	5.0	2026-03-03	0.043407	-0.064829	False	-0.019215
distance_bottom5	5.0	2026-03-04	0.027587	-0.07887	False	-0.019215
distance_bottom5	5.0	2026-03-05	0.025756	-0.076087	False	-0.019215
distance_bottom5	5.0	2026-03-06	0.032998	-0.061976	False	-0.019215
distance_bottom5	5.0	2026-03-09	0.020269	-0.074339	False	-0.019215
distance_bottom5	5.0	2026-03-10	0.025919	-0.074354	False	-0.019215
distance_bottom5	5.0	2026-03-11	0.026627	-0.074232	False	-0.019215
distance_bottom5	5.0	2026-03-12	0.035281	-0.058065	False	-0.019215
distance_bottom5	5.0	2026-03-13	0.023217	-0.052449	False	-0.019215
distance_bottom5	5.0	2026-03-16	0.02378	-0.06296	False	-0.019215
distance_bottom5	5.0	2026-03-17	0.029871	-0.067511	False	-0.019215
distance_bottom5	5.0	2026-03-18	0.029656	-0.054328	False	-0.019215
distance_bottom5	5.0	2026-03-19	0.03637	-0.05133	False	-0.019215
distance_bottom5	5.0	2026-03-20	0.035308	-0.033467	False	-0.019215
distance_bottom5	5.0	2026-03-23	0.028318	-0.043231	False	-0.019215
distance_bottom5	5.0	2026-03-24	0.038846	-0.036645	False	-0.019215
distance_bottom5	5.0	2026-03-25	0.035474	-0.042938	False	-0.019215
distance_bottom5	5.0	2026-03-26	0.035252	-0.019537	False	-0.019215
