split	direction	top_pct	count	avg_return	hit_rate	cutoff
validation	top	10.0	99	0.0021650878613484834	0.6060606060606061	0.0375761072190234
validation	top	15.0	148	0.008137121749586123	0.6418918918918919	0.03542496608110629
validation	top	20.0	197	0.010589713442437044	0.649746192893401	0.03335682541943234
validation	bottom	10.0	99	0.1638567617408503	0.9090909090909091	-0.012760001760546364
validation	bottom	15.0	148	0.1147494064938956	0.8175675675675675	-0.004946730756111912
validation	bottom	20.0	197	0.08900954377463721	0.7614213197969543	0.000894646695810486
test	top	10.0	99	0.05115802758396789	0.6767676767676768	0.03610028975889928
test	top	15.0	148	0.04934932787146132	0.668918918918919	0.03384192532393365
test	top	20.0	197	0.0500943990206106	0.6954314720812182	0.03175154463720163
test	bottom	10.0	99	0.06125927099834647	0.7676767676767676	-0.00320764633433172
test	bottom	15.0	148	0.05616585988104108	0.7837837837837838	0.003927540198306572
test	bottom	20.0	197	0.050778945125588115	0.766497461928934	0.008153629087561863
