model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	10	0.6	0.0186	-0.113	-0.1259	3	2	0.436
ret_60	top_10pct	6	0.8333	0.0532	-0.011	-0.0115	4	1	0.4834
ret_60	top_15pct	7	0.7143	0.0322	-0.0415	-0.0443	3	2	0.4787
ret_60	top_20pct	8	0.5	0.0214	-0.0587	-0.0626	2	2	0.4755
ret_60	bullish_plus	9	0.5556	0.0283	-0.0934	-0.0969	2	2	0.436
ret_60	strong_bullish_plus	4	1.0	0.0813	0.0	0.0	4	0	0.436
sma_gap_60	threshold	10	0.6	0.0186	-0.113	-0.1259	3	2	0.482
sma_gap_60	top_10pct	6	0.8333	0.0593	-0.0065	-0.0068	4	1	0.4988
sma_gap_60	top_15pct	7	0.7143	0.0346	-0.0553	-0.0609	3	1	0.4974
sma_gap_60	top_20pct	8	0.5	0.026	-0.0543	-0.0598	1	1	0.4964
sma_gap_60	bullish_plus	8	0.625	0.0198	-0.0928	-0.0969	2	2	0.482
sma_gap_60	strong_bullish_plus	5	0.8	0.0466	-0.0112	-0.0115	3	1	0.482
ret_60_plus_sma_gap_60	threshold	10	0.6	0.0186	-0.113	-0.1259	3	2	0.489
ret_60_plus_sma_gap_60	top_10pct	6	0.8333	0.0563	-0.011	-0.0115	4	1	0.4998
ret_60_plus_sma_gap_60	top_15pct	7	0.5714	0.0378	-0.0993	-0.1173	1	1	0.4988
ret_60_plus_sma_gap_60	top_20pct	8	0.5	0.0242	-0.055	-0.0598	1	1	0.4982
ret_60_plus_sma_gap_60	bullish_plus	9	0.5556	0.0165	-0.0928	-0.0969	2	2	0.489
ret_60_plus_sma_gap_60	strong_bullish_plus	5	0.8	0.055	-0.0017	-0.0018	3	1	0.489
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	10	0.6	0.0186	-0.113	-0.1259	3	2	0.482
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	5	0.8	0.0445	-0.011	-0.0115	3	1	0.4982
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	7	0.5714	0.0378	-0.0993	-0.1173	1	1	0.4968
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	8	0.5	0.024	-0.056	-0.0609	1	1	0.4959
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	9	0.5556	0.0165	-0.0928	-0.0969	2	2	0.482
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	5	0.8	0.0569	-0.0017	-0.0018	3	1	0.482
ret_60_plus_sma_gap_60	fixed_0.47	10	0.6	0.0186	-0.113	-0.1259	3	2	0.47
ret_60_plus_sma_gap_60	fixed_0.49	10	0.6	0.0186	-0.113	-0.1259	3	2	0.49
ret_60_plus_sma_gap_60	fixed_0.51	1	1.0	0.1725	0.0	0.0	1	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	95	0.5895	0.0249	-0.2979	-0.4363	14	10	0.489
ret_60_plus_sma_gap_60	cooldown_10d	52	0.5962	0.0261	-0.176	-0.2421	8	6	0.489
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	10	0.6	0.0186	-0.113	-0.1259	3	2	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	10	0.4	-0.0029	-0.1385	-0.1415	2	3	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	1	1.0	0.1725	0.0	0.0	1	0	0.51
