asset_key	role	model_name	best_rule_name	selected_count	hit_rate	avg_return	cutoff	recent_selected_count	latest_date	latest_score	latest_selected	last_selected_date
rsp	headline	close_location_20_plus_distance_to_252_high_plus_atr_pct_20_percentile_plus_rs_vs_benchmark_60_plus_neg_weight_1_15	top_12_5pct	7	0.7143	0.0391	0.3761	2	2026-03-17	0.3589	False	2026-03-09
rsp	headline	close_location_20_plus_distance_to_252_high_plus_atr_pct_20_percentile_plus_rs_vs_benchmark_60_plus_price_ratio_benchmark_z_20_plus_price_ratio_benchmark_z_60_plus_neg_weight_1_15	top_12_5pct	6	0.8333	0.0496	0.3895	1	2026-03-17	0.3577	False	2026-03-06
rsp	headline	close_location_20_plus_distance_to_252_high_plus_rs_vs_benchmark_60_plus_neg_weight_1_3	top_12_5pct	7	0.7143	0.0385	0.3621	3	2026-03-17	0.3481	False	2026-03-09
rsp	headline	close_location_20_plus_distance_to_252_high_plus_rs_vs_benchmark_60_plus_price_ratio_benchmark_z_20_plus_price_ratio_benchmark_z_60_plus_neg_weight_1_3	top_15pct	6	0.8333	0.0514	0.3716	4	2026-03-17	0.3475	False	2026-03-06
rsp	headline	close_location_20_plus_distance_to_252_high_plus_slope_20_plus_rs_vs_benchmark_60_plus_neg_weight_1_3	top_12_5pct	7	0.7143	0.0407	0.4194	2	2026-03-17	0.4078	False	2026-03-09
rsp	headline	close_location_20_plus_distance_to_252_high_plus_slope_20_plus_rs_vs_benchmark_60_plus_price_ratio_benchmark_z_20_plus_price_ratio_benchmark_z_60_plus_neg_weight_1_3	top_15pct	6	0.8333	0.0514	0.3703	3	2026-03-17	0.3459	False	2026-03-06
rsp	headline	close_location_20_plus_ret_60_plus_atr_pct_20_percentile_plus_rs_vs_benchmark_60_plus_neg_weight_1_6	top_10pct	7	0.7143	0.0391	0.3746	2	2026-03-17	0.3603	False	2026-03-09
rsp	headline	close_location_20_plus_ret_60_plus_atr_pct_20_percentile_plus_rs_vs_benchmark_60_plus_price_ratio_benchmark_z_20_plus_price_ratio_benchmark_z_60_plus_neg_weight_1_6	top_15pct	6	0.8333	0.0514	0.4092	7	2026-03-17	0.3916	False	2026-03-06
rsp	headline	close_location_20_plus_ret_60_plus_rs_vs_benchmark_60_plus_neg_weight_1_6	top_15pct	7	0.7143	0.0388	0.3598	6	2026-03-17	0.3542	False	2026-03-11
rsp	headline	close_location_20_plus_ret_60_plus_rs_vs_benchmark_60_plus_price_ratio_benchmark_z_20_plus_price_ratio_benchmark_z_60_plus_neg_weight_1_6	top_17_5pct	6	0.8333	0.0514	0.4019	9	2026-03-17	0.3908	False	2026-03-09
rsp	headline	close_location_20_plus_ret_60_plus_slope_20_plus_rs_vs_benchmark_60_plus_neg_weight_1_6	top_12_5pct	6	0.8333	0.0459	0.3562	5	2026-03-17	0.3463	False	2026-03-11
rsp	headline	close_location_20_plus_ret_60_plus_slope_20_plus_rs_vs_benchmark_60_plus_price_ratio_benchmark_z_20_plus_price_ratio_benchmark_z_60_plus_neg_weight_1_6	top_17_5pct	6	0.8333	0.0412	0.414	8	2026-03-17	0.4032	False	2026-03-09
