model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	15	0.8667	0.1038	-0.1092	-0.2082	9	2	0.462
ret_60	top_10pct	12	0.9167	0.1198	-0.0198	-0.0264	8	1	0.4966
ret_60	top_15pct	12	0.9167	0.1073	-0.0195	-0.0264	8	1	0.494
ret_60	top_20pct	13	0.9231	0.1139	-0.0124	-0.0169	9	1	0.492
ret_60	bullish_plus	13	0.7692	0.0989	-0.0808	-0.1646	3	1	0.462
ret_60	strong_bullish_plus	12	0.9167	0.1198	-0.0198	-0.0264	8	1	0.462
sma_gap_60	threshold	15	0.8667	0.1038	-0.1092	-0.2082	9	2	0.452
sma_gap_60	top_10pct	12	0.9167	0.1383	-0.0197	-0.0279	8	1	0.4942
sma_gap_60	top_15pct	12	0.9167	0.1047	-0.0198	-0.0264	8	1	0.4904
sma_gap_60	top_20pct	13	0.9231	0.1192	-0.0075	-0.0102	9	1	0.488
sma_gap_60	bullish_plus	13	0.8462	0.1058	-0.0567	-0.1151	5	1	0.452
sma_gap_60	strong_bullish_plus	12	0.9167	0.1383	-0.0197	-0.0279	8	1	0.452
ret_60_plus_sma_gap_60	threshold	15	0.8667	0.1038	-0.1092	-0.2082	9	2	0.451
ret_60_plus_sma_gap_60	top_10pct	12	0.9167	0.1063	-0.0198	-0.0264	8	1	0.4938
ret_60_plus_sma_gap_60	top_15pct	12	0.9167	0.1073	-0.0195	-0.0264	8	1	0.4907
ret_60_plus_sma_gap_60	top_20pct	13	0.9231	0.1139	-0.0124	-0.0169	9	1	0.4881
ret_60_plus_sma_gap_60	bullish_plus	13	0.8462	0.1049	-0.057	-0.1151	5	1	0.451
ret_60_plus_sma_gap_60	strong_bullish_plus	12	0.9167	0.1063	-0.0198	-0.0264	8	1	0.451
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	15	0.8667	0.1038	-0.1092	-0.2082	9	2	0.447
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	12	0.9167	0.1198	-0.0198	-0.0264	8	1	0.4883
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	12	0.9167	0.1064	-0.0195	-0.0264	8	1	0.4853
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	13	0.9231	0.1139	-0.0124	-0.0169	9	1	0.4829
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	13	0.8462	0.1051	-0.057	-0.1151	5	1	0.447
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	12	0.9167	0.1198	-0.0198	-0.0264	8	1	0.447
ret_60_plus_sma_gap_60	fixed_0.47	15	0.8667	0.0992	-0.0117	-0.0222	7	1	0.47
ret_60_plus_sma_gap_60	fixed_0.49	12	0.9167	0.1061	-0.0195	-0.0264	8	1	0.49
ret_60_plus_sma_gap_60	fixed_0.51	1	1.0	0.0848	0.0	0.0	1	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	146	0.8082	0.1125	-0.1103	-0.7505	45	10	0.451
ret_60_plus_sma_gap_60	cooldown_10d	80	0.775	0.1103	-0.095	-0.5074	24	5	0.451
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	14	0.8571	0.0995	-0.0722	-0.1419	7	1	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	12	0.9167	0.1424	-0.0186	-0.0279	8	1	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
