asset_key	role	model_name	best_rule_name	selected_count	hit_rate	avg_return	cutoff	recent_selected_count	latest_date	latest_score	latest_selected	last_selected_date
smh	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_above_200dma_flag_plus_rs_vs_benchmark_60_plus_neg_weight_1_6	top_12_5pct	12	0.9167	0.1188	0.5001	24	2026-04-06	0.4986	False	2026-03-30
smh	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_atr_pct_20_plus_rs_vs_benchmark_60_plus_neg_weight_1_6	top_10pct	12	0.9167	0.1187	0.5002	18	2026-04-06	0.4985	False	2026-03-30
smh	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_close_location_20_plus_rs_vs_benchmark_60_plus_neg_weight_1_45	top_10pct	12	0.9167	0.1324	0.5013	16	2026-04-06	0.4961	False	2026-03-30
smh	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_distance_to_252_high_plus_rs_vs_benchmark_60_plus_neg_weight_1_6	top_10pct	12	0.9167	0.1258	0.5002	19	2026-04-06	0.4986	False	2026-03-30
smh	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_rs_vs_benchmark_60_plus_neg_weight_1_6	top_10pct	12	0.9167	0.1258	0.5002	19	2026-04-06	0.4985	False	2026-03-30
smh	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_above_200dma_flag_plus_ret_20_vs_benchmark_plus_neg_weight_1_6	top_10pct	12	0.9167	0.1214	0.5009	16	2026-04-06	0.4867	False	2026-03-30
smh	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_atr_pct_20_plus_ret_20_vs_benchmark_plus_neg_weight_1_6	top_10pct	12	0.9167	0.129	0.5003	16	2026-04-06	0.4821	False	2026-03-30
smh	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_close_location_20_plus_ret_20_vs_benchmark_plus_neg_weight_1_45	fixed_0.49	11	0.9091	0.1407	0.49	3	2026-04-06	0.4367	False	2026-03-30
smh	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_distance_to_252_high_plus_ret_20_vs_benchmark_plus_neg_weight_1_6	fixed_0.49	6	1.0	0.1607	0.49	1	2026-04-06	0.4323	False	2026-03-30
smh	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_ret_20_vs_benchmark_plus_neg_weight_1_6	fixed_0.49	6	1.0	0.1607	0.49	1	2026-04-06	0.4321	False	2026-03-30
smh	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_above_200dma_flag_plus_ret_60_vs_benchmark_plus_neg_weight_1_6	top_12_5pct	12	0.9167	0.1188	0.5001	24	2026-04-06	0.4986	False	2026-03-30
smh	headline	ret_60_plus_year_plus_rolling_return_120_plus_rolling_vol_60_plus_atr_pct_20_plus_ret_60_vs_benchmark_plus_neg_weight_1_6	top_10pct	12	0.9167	0.1187	0.5002	18	2026-04-06	0.4985	False	2026-03-30
