model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound	asset_key	role
ret_60_plus_all_regime_features	threshold	0.3	15	1.0	0.4383	1.0	0.9333	0.1022	-0.2662	smh	headline
ret_60_plus_all_regime_features	fixed_0.47	0.47	15	1.0	0.4383	1.0	0.9333	0.1022	-0.2662	smh	headline
ret_60_plus_all_regime_features	fixed_0.49	0.49	15	1.0	0.4383	1.0	0.9333	0.1022	-0.2662	smh	headline
ret_60_plus_all_regime_features	top_10pct	0.5007	12	0.1001	0.4778	0.1091	0.9167	0.1335	-0.0279	smh	headline
ret_60_plus_all_regime_features	top_12_5pct	0.5007	12	0.1257	0.4513	0.1294	0.9167	0.123	-0.0279	smh	headline
ret_60_plus_all_regime_features	top_15pct	0.5006	12	0.1502	0.4593	0.1574	0.9167	0.1117	-0.0264	smh	headline
ret_60_plus_all_regime_features	top_17_5pct	0.5005	12	0.1758	0.4304	0.1726	0.9167	0.1059	-0.0264	smh	headline
ret_60_plus_all_regime_features	top_20pct	0.5005	12	0.2002	0.4444	0.203	0.75	0.0813	-0.1891	smh	headline
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.447	15	0.9055	0.4361	0.901	0.8667	0.1038	-0.2082	smh	operator
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	14	0.4905	0.4263	0.4772	0.8571	0.0995	-0.1419	smh	operator
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	12	0.0712	0.5	0.0812	0.9167	0.1424	-0.0279	smh	operator
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	0.4883	12	0.1001	0.4444	0.1015	0.9167	0.1198	-0.0264	smh	operator
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_12_5pct	0.4863	12	0.1257	0.4336	0.1244	0.9167	0.1088	-0.0264	smh	operator
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4853	12	0.1502	0.4222	0.1447	0.9167	0.1064	-0.0264	smh	operator
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.484	12	0.1758	0.4367	0.1751	0.9167	0.107	-0.0264	smh	operator
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4829	13	0.2002	0.4333	0.198	0.9231	0.1139	-0.0169	smh	operator
