model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.451	15	0.9032	0.4347	0.8959	0.8667	0.1038	-0.2082
ret_60_plus_sma_gap_60	fixed_0.47	0.47	15	0.6007	0.413	0.566	0.8667	0.0992	-0.0222
ret_60_plus_sma_gap_60	fixed_0.49	0.49	12	0.1635	0.4422	0.165	0.9167	0.1061	-0.0264
ret_60_plus_sma_gap_60	top_12_5pct	0.4917	12	0.1257	0.4336	0.1244	0.9167	0.1088	-0.0264
ret_60_plus_sma_gap_60	top_15pct	0.4907	12	0.1502	0.4222	0.1447	0.9167	0.1073	-0.0264
ret_60_plus_sma_gap_60	top_17_5pct	0.4893	12	0.1758	0.4367	0.1751	0.9167	0.107	-0.0264
ret_60_plus_sma_gap_60	top_20pct	0.4881	13	0.2002	0.4278	0.1954	0.9231	0.1139	-0.0169
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.447	15	0.9055	0.4361	0.901	0.8667	0.1038	-0.2082
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	14	0.4905	0.4263	0.4772	0.8571	0.0995	-0.1419
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	12	0.0712	0.5	0.0812	0.9167	0.1424	-0.0279
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4853	12	0.1502	0.4222	0.1447	0.9167	0.1064	-0.0264
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.484	12	0.1758	0.4367	0.1751	0.9167	0.107	-0.0264
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4829	13	0.2002	0.4333	0.198	0.9231	0.1139	-0.0169
