date	baseline_top10	rolling_vol_top10
2025-08-01	True	True
2025-10-27	False	False
2025-10-28	False	False
2025-10-29	False	False
2025-12-22	False	False
2025-12-23	False	False
2025-12-24	False	False
2025-12-26	False	False
2025-12-29	False	False
2025-12-30	False	False
2025-12-31	False	False
2026-01-02	False	False
2026-01-05	False	False
2026-01-06	False	False
2026-01-07	False	False
2026-01-08	False	False
2026-01-09	False	False
2026-01-12	False	False
2026-01-13	False	False
2026-01-14	False	False
2026-01-15	False	False
2026-01-16	False	False
2026-01-20	True	True
2026-01-21	True	True
2026-01-22	False	False
2026-01-23	False	False
2026-01-26	False	False
2026-01-27	False	False
2026-01-28	False	False
2026-01-29	False	False
2026-01-30	False	False
2026-02-02	False	False
2026-02-03	False	False
2026-02-04	False	False
2026-02-05	True	True
2026-02-06	False	False
2026-02-09	False	False
2026-02-10	False	False
2026-02-11	False	False
2026-02-12	True	True
2026-02-13	True	False
2026-02-17	False	False
2026-02-18	False	False
2026-02-19	False	False
2026-02-20	False	False
2026-02-23	False	False
2026-02-24	False	False
2026-02-25	False	False
2026-02-26	False	False
2026-02-27	False	False
2026-03-02	False	False
2026-03-03	False	False
2026-03-04	False	False
2026-03-05	False	False
2026-03-06	False	True
2026-03-09	False	False
2026-03-10	False	False
2026-03-11	False	False
2026-03-16	False	False
2026-03-17	False	False
